id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0754-32,20,20.03,5076,3045,1985,0.0300000000000011,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-62.13412|-13.14678
ctb0754-34,91,93.6,7242,7310,1985,2.59999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.68333|-12.58333
ctb0033-RO2254D,5,5.08,4259,4002,1996,0.0800000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.8455719220803|-12.0340129826652
ctb0033-RO2292,14,13.93,3335,2533,1996,-0.0700000000000003,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.71777778|-12.44888889
ctb0033-RO2307,14,14.38,2915,2349,1996,0.380000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.88083333|-12.47305556
ctb0033-RO2315,16,16.13,2656,2073,1996,0.129999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.99722222|-12.54472222
ctb0033-RO2283,17,16.76,3225,2133,1996,-0.239999999999998,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.82388889|-12.24361111
ctb0033-RO2306,17,16.66,2550,2006,1996,-0.34,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.86666667|-12.4575
ctb0033-RO2469,20,19.47,3183,2595,1996,-0.530000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.92|-12.47638889
ctb0033-RO2259,21,20.3,2913,2460,1996,-0.699999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.78888889|-12.30222222
ctb0033-RO2472,22,21.97,3683,2864,1996,-0.0300000000000011,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.94944444|-12.34388889
ctb0033-RO2465,23,23.24,3206,2408,1996,0.239999999999998,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.90916667|-12.67027778
ctb0033-RO2308,24,23.85,4054,2966,1996,-0.149999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.86333333|-12.43194444
ctb0033-RO2313,24,23.69,3691,3367,1996,-0.309999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.79333333|-12.14888889
ctb0033-RO2481,24,23.35,2963,2510,1996,-0.649999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.91083333|-12.23
ctb0033-RO2311,25,25.38,3751,3116,1996,0.379999999999999,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.73833333|-12.37277778
ctb0033-RO2255,26,25.61,3153,2839,1996,-0.390000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.81916667|-12.19027778
ctb0033-RO2310,26,25.94,3367,2838,1996,-0.0599999999999987,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.77027778|-12.26388889
ctb0033-RO2467,26,25.15,3004,2910,1996,-0.850000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.90944444|-12.55694444
ctb0033-RO2470,29,28.96,3140,2776,1996,-0.0399999999999991,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.95083333|-12.43805556
ctb0033-RO2258,30,30,4201,3278,1996,0,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.78388889|-12.25111111
ctb0033-RO2282,32,30.95,3566,3301,1996,-1.05,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.82055556|-12.23777778
ctb0033-RO2466,33,32.17,3956,3367,1996,-0.829999999999998,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.90944444|-12.61027778
ctb0033-RO2237,34,33.47,4483,3858,1996,-0.530000000000001,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.92055556|-12.10388889
ctb0033-RO2281,34,33.52,4091,3492,1996,-0.479999999999997,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-61.81944444|-12.21194444
