system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
00000000000000002324,ctb0754-32,5076.0,3045.0,1985,20,"{""type"":""Point"",""coordinates"":[-62.134121835552946,-13.146781013177641]}"
00000000000000002326,ctb0754-34,7242.0,7310.0,1985,91,"{""type"":""Point"",""coordinates"":[-61.68332901455484,-12.583329004064222]}"
000000000000000009e2,ctb0033-RO2254D,4259.0,4002.0,1996,5,"{""type"":""Point"",""coordinates"":[-61.84835142634076,-12.035925299642152]}"
00000000000000000a08,ctb0033-RO2292,3335.0,2533.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.7177755701927,-12.448887107302829]}"
00000000000000000a17,ctb0033-RO2307,2915.0,2349.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.88083151841406,-12.473055435012503]}"
00000000000000000a1f,ctb0033-RO2315,2656.0,2073.0,1996,16,"{""type"":""Point"",""coordinates"":[-61.99722297411111,-12.544722107143485]}"
000000000000000009ff,ctb0033-RO2283,3225.0,2133.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.82388879796155,-12.243612390307447]}"
00000000000000000a16,ctb0033-RO2306,2550.0,2006.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.86666495436727,-12.457502090538089]}"
00000000000000000ab9,ctb0033-RO2469,3183.0,2595.0,1996,20,"{""type"":""Point"",""coordinates"":[-61.92000026206753,-12.476390842600482]}"
000000000000000009e7,ctb0033-RO2259,2913.0,2460.0,1996,21,"{""type"":""Point"",""coordinates"":[-61.788889313793064,-12.302222814553943]}"
00000000000000000abc,ctb0033-RO2472,3683.0,2864.0,1996,22,"{""type"":""Point"",""coordinates"":[-61.94944370632342,-12.343888654797338]}"
00000000000000000ab5,ctb0033-RO2465,3206.0,2408.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.909164646507655,-12.670277015505363]}"
00000000000000000a18,ctb0033-RO2308,4054.0,2966.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.86333400588035,-12.431942523299737]}"
00000000000000000a1d,ctb0033-RO2313,3691.0,3367.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.79333503754335,-12.148887706629095]}"
00000000000000000ac5,ctb0033-RO2481,2963.0,2510.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.910832350301646,-12.229998754791277]}"
00000000000000000a1b,ctb0033-RO2311,3751.0,3116.0,1996,25,"{""type"":""Point"",""coordinates"":[-61.73833202604909,-12.372779170522614]}"
000000000000000009e3,ctb0033-RO2255,3153.0,2839.0,1996,26,"{""type"":""Point"",""coordinates"":[-61.81916660994596,-12.19027708260718]}"
00000000000000000a1a,ctb0033-RO2310,3367.0,2838.0,1996,26,"{""type"":""Point"",""coordinates"":[-61.77027702599597,-12.263887922797466]}"
00000000000000000ab7,ctb0033-RO2467,3004.0,2910.0,1996,26,"{""type"":""Point"",""coordinates"":[-61.90944556987401,-12.556944503130984]}"
00000000000000000aba,ctb0033-RO2470,3140.0,2776.0,1996,29,"{""type"":""Point"",""coordinates"":[-61.95083494585211,-12.43805595084401]}"
000000000000000009e6,ctb0033-RO2258,4201.0,3278.0,1996,30,"{""type"":""Point"",""coordinates"":[-61.783890661512146,-12.251112598279342]}"
000000000000000009fe,ctb0033-RO2282,3566.0,3301.0,1996,32,"{""type"":""Point"",""coordinates"":[-61.82055339037358,-12.237779886129543]}"
00000000000000000ab6,ctb0033-RO2466,3956.0,3367.0,1996,33,"{""type"":""Point"",""coordinates"":[-61.90944556987402,-12.610279810831251]}"
000000000000000009d0,ctb0033-RO2237,4483.0,3858.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.92055764969921,-12.103890917898775]}"
000000000000000009fd,ctb0033-RO2281,4091.0,3492.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.819443074211264,-12.211943854625876]}"
00000000000000000a1e,ctb0033-RO2314,4926.0,4171.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.84777620230486,-12.03388749046073]}"
00000000000000000ac4,ctb0033-RO2480,3921.0,3545.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.9913904699332,-12.325276367000253]}"
00000000000000000814,ctb0033-RO1691,3754.0,3349.0,1996,35,"{""type"":""Point"",""coordinates"":[-61.55611086150003,-12.546389810937477]}"
000000000000000009d3,ctb0033-RO2240,4378.0,3606.0,1996,36,"{""type"":""Point"",""coordinates"":[-61.87277838191154,-12.13222404599237]}"
00000000000000000acc,ctb0033-RO2488,3266.0,3419.0,1996,36,"{""type"":""Point"",""coordinates"":[-61.909164646507655,-12.574165551399389]}"
000000000000000009d6,ctb0033-RO2243,4742.0,4262.0,1996,37,"{""type"":""Point"",""coordinates"":[-61.966388290326535,-12.131943122626003]}"
000000000000000009fc,ctb0033-RO2280,4011.0,3543.0,1996,37,"{""type"":""Point"",""coordinates"":[-61.84861005420186,-12.076668105967485]}"
00000000000000000a09,ctb0033-RO2293,4107.0,3618.0,1996,39,"{""type"":""Point"",""coordinates"":[-61.74111004600539,-12.449168030669197]}"
00000000000000000ac0,ctb0033-RO2476,4456.0,3997.0,1996,43,"{""type"":""Point"",""coordinates"":[-61.999720070701045,-12.5174992952122]}"
00000000000000000813,ctb0033-RO1690,5072.0,4261.0,1996,44,"{""type"":""Point"",""coordinates"":[-61.59027649377153,-12.526390742712769]}"
000000000000000009d4,ctb0033-RO2241,4567.0,4458.0,1996,48,"{""type"":""Point"",""coordinates"":[-61.823054946064566,-12.131943122626005]}"
00000000000000000ab8,ctb0033-RO2468,3975.0,4066.0,1996,48,"{""type"":""Point"",""coordinates"":[-61.91277651836095,-12.519166999006186]}"
