"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000002293","ctb0751-96",3572,3341,1985,32,-62.3666684145912,-9.24999935717761
"00000000000000002290","ctb0751-90",3491,3410,1985,33,-62.4833318754525,-9.16666767669081
"00000000000000002292","ctb0751-95",3624,3499,1985,37,-62.583327216576,-9.2166675768031
"00000000000000000dec","ctb0033-RO3407",3799,4089,1996,16,-62.6769460431931,-9.45472114564236
"00000000000000000d80","ctb0033-RO3299",2889,2795,1996,19,-62.5513866757302,-9.17638851698733
"00000000000000000dea","ctb0033-RO3405",2471,2063,1996,19,-62.5999997954149,-9.42277614569548
"00000000000000000de6","ctb0033-RO3401",2665,2385,1996,21,-62.5463880234493,-9.08777726085325
"00000000000000000def","ctb0033-RO3410",2974,2580,1996,21,-62.6752783393991,-9.25110967333992
"00000000000000000df1","ctb0033-RO3412",2837,2551,1996,21,-62.7158338634802,-9.12666508114035
"00000000000000000d7e","ctb0033-RO3297",3022,2681,1996,24,-62.4994426075586,-9.29000195272807
"00000000000000000df2","ctb0033-RO3413",2909,2567,1996,24,-62.5644429236147,-9.35250071309317
"00000000000000000d66","ctb0033-RO3273",3025,2837,1996,25,-62.405279770613,-9.30500236867187
"00000000000000000df0","ctb0033-RO3411",2945,2797,1996,26,-62.6905552196082,-9.1891683006065
"00000000000000000de5","ctb0033-RO3400",2720,2610,1996,27,-62.5374965759487,-9.11361329235691
"00000000000000000deb","ctb0033-RO3406",3402,3151,1996,27,-62.6763886555615,-9.50055624537074
"00000000000000000de7","ctb0033-RO3402",2964,2938,1996,29,-62.5308346789749,-9.03055361703438
"00000000000000000df3","ctb0033-RO3414",3706,3635,1996,29,-62.5633326074524,-9.37277624558319
"00000000000000000d65","ctb0033-RO3272",3104,2963,1996,30,-62.3727773830344,-9.34527696938659
"00000000000000000df6","ctb0033-RO3417",3256,3053,1996,30,-62.6061132229591,-9.50305334196066
"00000000000000000d67","ctb0033-RO3274",3290,3090,1996,31,-62.4188889470281,-9.40972435691204
"00000000000000000d7d","ctb0033-RO3296",3023,3045,1996,32,-62.4800009269656,-9.3577758296394
"00000000000000000d7f","ctb0033-RO3298",3302,3277,1996,33,-62.5344465508282,-9.2261119528343
"00000000000000000df5","ctb0033-RO3416",3309,3084,1996,33,-62.54444385539,-9.47305696917413
"00000000000000000df4","ctb0033-RO3415",3221,3213,1996,34,-62.6047219834305,-9.30027572155521
"00000000000000000ded","ctb0033-RO3408",3825,3997,1996,40,-62.6811108435771,-9.39083114574859
"00000000000000000df9","ctb0033-RO3420",3892,4092,1996,42,-62.8305576153833,-9.52500103734572
"00000000000000000de9","ctb0033-RO3404",3711,3795,1996,43,-62.6291667754054,-8.99194226101259
"00000000000000000de8","ctb0033-RO3403",3710,3802,1996,44,-62.5644429236147,-8.98944516442266
"00000000000000000dee","ctb0033-RO3409",3927,4203,1996,44,-62.6772225074584,-9.31277904090908
"00000000000000000df8","ctb0033-RO3419",4167,4389,1996,48,-62.8011097120263,-9.48638968132394
"00000000000000000d7c","ctb0033-RO3295",4183,4528,1996,52,-62.5488895791403,-9.39527686949888
