id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0751-96,32,33.33,3572,3341,1985,1.33,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.36667|-9.25
ctb0751-90,33,32.95,3491,3410,1985,-0.0499999999999972,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.48333|-9.166667
ctb0751-95,37,36.53,3624,3499,1985,-0.469999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.58333|-9.216667
ctb0033-RO3407,16,16.25,3799,4089,1996,0.25,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.67694444|-9.45472222
ctb0033-RO3299,19,18.99,2889,2795,1996,-0.0100000000000016,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.55138889|-9.17638889
ctb0033-RO3405,19,19.78,2471,2063,1996,0.780000000000001,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.6|-9.42277778
ctb0033-RO3401,21,21.36,2665,2385,1996,0.359999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.54638889|-9.08777778
ctb0033-RO3410,21,21.12,2974,2580,1996,0.120000000000001,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.67527778|-9.25111111
ctb0033-RO3412,21,21.4,2837,2551,1996,0.399999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.71583333|-9.12666667
ctb0033-RO3297,24,23.62,3022,2681,1996,-0.379999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.49944444|-9.29
ctb0033-RO3413,24,24.72,2909,2567,1996,0.719999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.56444444|-9.3525
ctb0033-RO3273,25,25.48,3025,2837,1996,0.48,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.40527778|-9.305
ctb0033-RO3411,26,26.32,2945,2797,1996,0.32,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.69055556|-9.18916667
ctb0033-RO3400,27,26.47,2720,2610,1996,-0.530000000000001,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.5375|-9.11361111
ctb0033-RO3406,27,27.77,3402,3151,1996,0.77,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.67638889|-9.50055556
ctb0033-RO3402,29,29.45,2964,2938,1996,0.449999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.53083333|-9.03055556
ctb0033-RO3414,29,28.13,3706,3635,1996,-0.870000000000001,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.56333333|-9.37277778
ctb0033-RO3272,30,29.31,3104,2963,1996,-0.690000000000001,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.37277778|-9.34527778
ctb0033-RO3417,30,30,3256,3053,1996,0,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.60611111|-9.50305556
ctb0033-RO3274,31,30.42,3290,3090,1996,-0.579999999999998,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.41888889|-9.40972222
ctb0033-RO3296,32,32.66,3023,3045,1996,0.659999999999997,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.48|-9.35777778
ctb0033-RO3298,33,32.87,3302,3277,1996,-0.130000000000003,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.53444444|-9.22611111
ctb0033-RO3416,33,32.44,3309,3084,1996,-0.560000000000002,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.54444444|-9.47305556
ctb0033-RO3415,34,33.56,3221,3213,1996,-0.439999999999998,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.60472222|-9.30027778
ctb0033-RO3408,40,42.4,3825,3997,1996,2.4,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.68111111|-9.39083333
ctb0033-RO3420,42,44.9,3892,4092,1996,2.9,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.83055556|-9.525
ctb0033-RO3404,43,43.12,3711,3795,1996,0.119999999999997,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.62916667|-8.99194444
ctb0033-RO3403,44,42.7,3710,3802,1996,-1.3,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.56444444|-8.98944444
ctb0033-RO3409,44,42.46,3927,4203,1996,-1.54,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.67722222|-9.31277778
ctb0033-RO3419,48,51.38,4167,4389,1996,3.38,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.80111111|-9.48638889
ctb0033-RO3295,52,52.38,4183,4528,1996,0.380000000000003,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.54888889|-9.39527778
