system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
00000000000000002293,ctb0751-96,3572.0,3341.0,1985,32,"{""type"":""Point"",""coordinates"":[-62.366668414591196,-9.249999357177613]}"
00000000000000002290,ctb0751-90,3491.0,3410.0,1985,33,"{""type"":""Point"",""coordinates"":[-62.48333187545251,-9.166667676690814]}"
00000000000000002292,ctb0751-95,3624.0,3499.0,1985,37,"{""type"":""Point"",""coordinates"":[-62.58332721657603,-9.216667576803104]}"
00000000000000000dec,ctb0033-RO3407,3799.0,4089.0,1996,16,"{""type"":""Point"",""coordinates"":[-62.676946043193134,-9.454721145642365]}"
00000000000000000d80,ctb0033-RO3299,2889.0,2795.0,1996,19,"{""type"":""Point"",""coordinates"":[-62.5513866757302,-9.176388516987329]}"
00000000000000000dea,ctb0033-RO3405,2471.0,2063.0,1996,19,"{""type"":""Point"",""coordinates"":[-62.59999979541487,-9.422776145695478]}"
00000000000000000de6,ctb0033-RO3401,2665.0,2385.0,1996,21,"{""type"":""Point"",""coordinates"":[-62.54638802344928,-9.08777726085325]}"
00000000000000000def,ctb0033-RO3410,2974.0,2580.0,1996,21,"{""type"":""Point"",""coordinates"":[-62.67527833939914,-9.251109673339922]}"
00000000000000000df1,ctb0033-RO3412,2837.0,2551.0,1996,21,"{""type"":""Point"",""coordinates"":[-62.715833863480235,-9.12666508114035]}"
00000000000000000d7e,ctb0033-RO3297,3022.0,2681.0,1996,24,"{""type"":""Point"",""coordinates"":[-62.49944260755861,-9.290001952728074]}"
00000000000000000df2,ctb0033-RO3413,2909.0,2567.0,1996,24,"{""type"":""Point"",""coordinates"":[-62.56444292361469,-9.352500713093171]}"
00000000000000000d66,ctb0033-RO3273,3025.0,2837.0,1996,25,"{""type"":""Point"",""coordinates"":[-62.405279770612985,-9.305002368671866]}"
00000000000000000df0,ctb0033-RO3411,2945.0,2797.0,1996,26,"{""type"":""Point"",""coordinates"":[-62.69055521960824,-9.189168300606504]}"
00000000000000000de5,ctb0033-RO3400,2720.0,2610.0,1996,27,"{""type"":""Point"",""coordinates"":[-62.53749657594872,-9.113613292356913]}"
00000000000000000deb,ctb0033-RO3406,3402.0,3151.0,1996,27,"{""type"":""Point"",""coordinates"":[-62.67638865556145,-9.500556245370737]}"
00000000000000000de7,ctb0033-RO3402,2964.0,2938.0,1996,29,"{""type"":""Point"",""coordinates"":[-62.530834678974855,-9.03055361703438]}"
00000000000000000df3,ctb0033-RO3414,3706.0,3635.0,1996,29,"{""type"":""Point"",""coordinates"":[-62.56333260745238,-9.37277624558319]}"
00000000000000000d65,ctb0033-RO3272,3104.0,2963.0,1996,30,"{""type"":""Point"",""coordinates"":[-62.37277738303443,-9.34527696938659]}"
00000000000000000df6,ctb0033-RO3417,3256.0,3053.0,1996,30,"{""type"":""Point"",""coordinates"":[-62.60611322295913,-9.503053341960664]}"
00000000000000000d67,ctb0033-RO3274,3290.0,3090.0,1996,31,"{""type"":""Point"",""coordinates"":[-62.41888894702811,-9.409724356912042]}"
00000000000000000d7d,ctb0033-RO3296,3023.0,3045.0,1996,32,"{""type"":""Point"",""coordinates"":[-62.48000092696558,-9.357775829639397]}"
00000000000000000d7f,ctb0033-RO3298,3302.0,3277.0,1996,33,"{""type"":""Point"",""coordinates"":[-62.53444655082816,-9.226111952834302]}"
00000000000000000df5,ctb0033-RO3416,3309.0,3084.0,1996,33,"{""type"":""Point"",""coordinates"":[-62.54444385538999,-9.473056969174133]}"
00000000000000000df4,ctb0033-RO3415,3221.0,3213.0,1996,34,"{""type"":""Point"",""coordinates"":[-62.60472198343046,-9.300275721555213]}"
00000000000000000ded,ctb0033-RO3408,3825.0,3997.0,1996,40,"{""type"":""Point"",""coordinates"":[-62.68111084357705,-9.39083114574859]}"
00000000000000000df9,ctb0033-RO3420,3892.0,4092.0,1996,42,"{""type"":""Point"",""coordinates"":[-62.830557615383285,-9.525001037345723]}"
00000000000000000de9,ctb0033-RO3404,3711.0,3795.0,1996,43,"{""type"":""Point"",""coordinates"":[-62.629166775405444,-8.991942261012593]}"
00000000000000000de8,ctb0033-RO3403,3710.0,3802.0,1996,44,"{""type"":""Point"",""coordinates"":[-62.56444292361469,-8.989445164422662]}"
00000000000000000dee,ctb0033-RO3409,3927.0,4203.0,1996,44,"{""type"":""Point"",""coordinates"":[-62.677222507458445,-9.312779040909078]}"
00000000000000000df8,ctb0033-RO3419,4167.0,4389.0,1996,48,"{""type"":""Point"",""coordinates"":[-62.80110971202633,-9.486389681323937]}"
00000000000000000d7c,ctb0033-RO3295,4183.0,4528.0,1996,52,"{""type"":""Point"",""coordinates"":[-62.548889579140265,-9.395276869498876]}"
