"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"0000000000000000232d","ctb0754-50",5646,5053,1985,39,-61.0666710116717,-12.8000011833522
"0000000000000000232c","ctb0754-49",6125,5695,1985,55,-61.2333299135442,-12.8000011833522
"00000000000000002331","ctb0754-60",5586,5032,1985,68,-60.9499986326083,-12.9666690034269
"00000000000000002332","ctb0754-61",6959,5672,1985,190,-60.9333305128705,-12.9500008836891
"00000000000000000ae4","ctb0033-RO2512",4654,4593,1996,8,-61.0308332165051,-12.9291679635674
"000000000000000007d1","ctb0033-RO1622",3768,3721,1996,9,-60.8169435162745,-12.8983332797828
"00000000000000000aee","ctb0033-RO2522",3965,3822,1996,9,-61.0333347721961,-12.8555571233771
"00000000000000000b06","ctb0033-RO2546",3413,3319,1996,10,-61.4094465687511,-12.7836095278797
"000000000000000007d6","ctb0033-RO1628",3678,3535,1996,11,-60.807222675978,-12.9688896357515
"00000000000000000ae6","ctb0033-RO2514",4718,4556,1996,11,-61.0252771765926,-12.8749988039701
"00000000000000000aea","ctb0033-RO2518",3831,3700,1996,11,-61.0547206208485,-12.8725017073802
"00000000000000000897","ctb0033-RO1823",3889,3726,1996,12,-60.8977781001714,-12.9913902596672
"00000000000000000ae3","ctb0033-RO2511",5149,5040,1996,12,-61.0100002963835,-12.928887040201
"00000000000000000aeb","ctb0033-RO2519",4311,4205,1996,12,-61.0499984328329,-12.8802783796174
"00000000000000000adb","ctb0033-RO2503",4437,4301,1996,13,-60.8883337241402,-12.953331832176
"00000000000000000aec","ctb0033-RO2520",3850,3699,1996,13,-61.1097236323427,-13.0024978803913
"000000000000000007d0","ctb0033-RO1621",4007,3921,1996,14,-60.7302764281997,-12.9850003678576
"000000000000000008b3","ctb0033-RO1851",3906,3834,1996,14,-61.158055828661,-13.0002772480667
"00000000000000000af9","ctb0033-RO2533",3420,3351,1996,14,-61.3816663691882,-12.9013877640044
"00000000000000000b08","ctb0033-RO2548",4471,4271,1996,15,-61.4252763774909,-12.8094455593834
"00000000000000000b09","ctb0033-RO2549",4627,4391,1996,16,-61.4311088816688,-12.8066675394271
"00000000000000000b0a","ctb0033-RO2550",4169,4126,1996,16,-61.4047243807355,-12.8086117074864
"000000000000000007d8","ctb0033-RO1630",3633,3504,1996,17,-61.2233326089824,-12.8988906674145
"00000000000000000ae7","ctb0033-RO2515",4396,4301,1996,17,-61.0355554045208,-12.8861108837953
"000000000000000007ce","ctb0033-RO1619",3848,3747,1996,18,-60.7319441319937,-12.9555569236017
"00000000000000000ae8","ctb0033-RO2516",4985,4770,1996,18,-61.0722225924832,-12.8483333796705
"00000000000000000ae9","ctb0033-RO2517",4697,4506,1996,18,-61.063612068349,-12.8483333796705
"00000000000000000b87","ctb0033-RO2676",3963,3983,1996,18,-61.0122209287081,-12.9983330800074
"000000000000000007cf","ctb0033-RO1620",4046,3873,1996,19,-60.73472215195,-12.977776624151
"00000000000000000af2","ctb0033-RO2526",3777,3705,1996,19,-61.2155559367452,-12.8544423481137
"00000000000000000b0c","ctb0033-RO2552",3819,3723,1996,19,-61.3938887651757,-12.7363876477238
"000000000000000007d4","ctb0033-RO1625",3561,3429,1996,20,-60.8525003880747,-12.9308312082603
