system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
0000000000000000232d,ctb0754-50,5646.0,5053.0,1985,39,"{""type"":""Point"",""coordinates"":[-61.0666710116717,-12.800001183352212]}"
0000000000000000232c,ctb0754-49,6125.0,5695.0,1985,55,"{""type"":""Point"",""coordinates"":[-61.23332991354424,-12.800001183352212]}"
00000000000000002331,ctb0754-60,5586.0,5032.0,1985,68,"{""type"":""Point"",""coordinates"":[-60.949998632608285,-12.966669003426857]}"
00000000000000002332,ctb0754-61,6959.0,5672.0,1985,190,"{""type"":""Point"",""coordinates"":[-60.93333051287051,-12.950000883689077]}"
00000000000000000ae4,ctb0033-RO2512,4654.0,4593.0,1996,8,"{""type"":""Point"",""coordinates"":[-61.030833216505144,-12.929167963567375]}"
000000000000000007d1,ctb0033-RO1622,3768.0,3721.0,1996,9,"{""type"":""Point"",""coordinates"":[-60.81694351627451,-12.898333279782799]}"
00000000000000000aee,ctb0033-RO2522,3965.0,3822.0,1996,9,"{""type"":""Point"",""coordinates"":[-61.033334772196135,-12.855557123377091]}"
00000000000000000b06,ctb0033-RO2546,3413.0,3319.0,1996,10,"{""type"":""Point"",""coordinates"":[-61.409446568751136,-12.783609527879745]}"
000000000000000007d6,ctb0033-RO1628,3678.0,3535.0,1996,11,"{""type"":""Point"",""coordinates"":[-60.80722267597801,-12.968889635751475]}"
00000000000000000ae6,ctb0033-RO2514,4718.0,4556.0,1996,11,"{""type"":""Point"",""coordinates"":[-61.02527717659256,-12.874998803970119]}"
00000000000000000aea,ctb0033-RO2518,3831.0,3700.0,1996,11,"{""type"":""Point"",""coordinates"":[-61.054720620848464,-12.872501707380188]}"
00000000000000000897,ctb0033-RO1823,3889.0,3726.0,1996,12,"{""type"":""Point"",""coordinates"":[-60.89777810017137,-12.991390259667162]}"
00000000000000000ae3,ctb0033-RO2511,5149.0,5040.0,1996,12,"{""type"":""Point"",""coordinates"":[-61.01000029638346,-12.92888704020101]}"
00000000000000000aeb,ctb0033-RO2519,4311.0,4205.0,1996,12,"{""type"":""Point"",""coordinates"":[-61.04999843283287,-12.880278379617396]}"
00000000000000000adb,ctb0033-RO2503,4437.0,4301.0,1996,13,"{""type"":""Point"",""coordinates"":[-60.88833372414018,-12.953331832176001]}"
00000000000000000aec,ctb0033-RO2520,3850.0,3699.0,1996,13,"{""type"":""Point"",""coordinates"":[-61.10972363234272,-13.002497880391298]}"
000000000000000007d0,ctb0033-RO1621,4007.0,3921.0,1996,14,"{""type"":""Point"",""coordinates"":[-60.730276428199744,-12.985000367857573]}"
000000000000000008b3,ctb0033-RO1851,3906.0,3834.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.15805582866102,-13.000277248066679]}"
00000000000000000af9,ctb0033-RO2533,3420.0,3351.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.381666369188174,-12.901387764004411]}"
00000000000000000b08,ctb0033-RO2548,4471.0,4271.0,1996,15,"{""type"":""Point"",""coordinates"":[-61.42527637749087,-12.809445559383411]}"
00000000000000000b09,ctb0033-RO2549,4627.0,4391.0,1996,16,"{""type"":""Point"",""coordinates"":[-61.43110888166878,-12.806667539427112]}"
00000000000000000b0a,ctb0033-RO2550,4169.0,4126.0,1996,16,"{""type"":""Point"",""coordinates"":[-61.40472438073554,-12.808611707486419]}"
000000000000000007d8,ctb0033-RO1630,3633.0,3504.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.22333260898241,-12.898890667414479]}"
00000000000000000ae7,ctb0033-RO2515,4396.0,4301.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.03555540452076,-12.886110883795304]}"
000000000000000007ce,ctb0033-RO1619,3848.0,3747.0,1996,18,"{""type"":""Point"",""coordinates"":[-60.731944131993735,-12.955556923601671]}"
00000000000000000ae8,ctb0033-RO2516,4985.0,4770.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.07222259248324,-12.84833337967051]}"
00000000000000000ae9,ctb0033-RO2517,4697.0,4506.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.06361206834904,-12.84833337967051]}"
00000000000000000b87,ctb0033-RO2676,3963.0,3983.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.01222092870807,-12.998333080007377]}"
000000000000000007cf,ctb0033-RO1620,4046.0,3873.0,1996,19,"{""type"":""Point"",""coordinates"":[-60.73472215195003,-12.97777662415099]}"
00000000000000000af2,ctb0033-RO2526,3777.0,3705.0,1996,19,"{""type"":""Point"",""coordinates"":[-61.21555593674521,-12.854442348113732]}"
00000000000000000b0c,ctb0033-RO2552,3819.0,3723.0,1996,19,"{""type"":""Point"",""coordinates"":[-61.39388876517566,-12.736387647723753]}"
000000000000000007d4,ctb0033-RO1625,3561.0,3429.0,1996,20,"{""type"":""Point"",""coordinates"":[-60.852500388074695,-12.930831208260313]}"
00000000000000000add,ctb0033-RO2505,5111.0,4894.0,1996,20,"{""type"":""Point"",""coordinates"":[-60.935279140030865,-12.93000181546437]}"
00000000000000000aed,ctb0033-RO2521,4387.0,4302.0,1996,20,"{""type"":""Point"",""coordinates"":[-61.03638925641775,-12.853889419583103]}"
000000000000000007d5,ctb0033-RO1627,3904.0,3759.0,1996,21,"{""type"":""Point"",""coordinates"":[-60.83194393221831,-12.967779319589166]}"
00000000000000000aff,ctb0033-RO2539,3740.0,3552.0,1996,21,"{""type"":""Point"",""coordinates"":[-61.23500207643928,-12.898609744048112]}"
00000000000000000b07,ctb0033-RO2547,3696.0,3575.0,1996,22,"{""type"":""Point"",""coordinates"":[-61.409446568751136,-12.783890451246112]}"
000000000000000007cc,ctb0033-RO1617,4892.0,4880.0,1996,23,"{""type"":""Point"",""coordinates"":[-60.72722194397812,-12.96333359583888]}"
0000000000000000088b,ctb0033-RO1811,4075.0,4035.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.080003723821505,-12.906943803917004]}"
0000000000000000088d,ctb0033-RO1813,4159.0,4100.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.05388676895147,-12.965277763898182]}"
00000000000000000aef,ctb0033-RO2523,3503.0,3392.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.03694664404943,-12.867498595998219]}"
00000000000000000afb,ctb0033-RO2535,4154.0,4081.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.336665121356795,-12.89972006021042]}"
000000000000000007db,ctb0033-RO1633,4325.0,4262.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.2200016604955,-12.816945767355307]}"
00000000000000000896,ctb0033-RO1822,0.0,0.0,1996,24,"{""type"":""Point"",""coordinates"":[-60.99972206845526,-12.962776208207199]}"
00000000000000000afa,ctb0033-RO2534,4164.0,4019.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.376386793540895,-12.900277447842102]}"
000000000000000007d9,ctb0033-RO1631,3712.0,3584.0,1996,25,"{""type"":""Point"",""coordinates"":[-61.17583426456111,-12.898890667414479]}"
00000000000000000af7,ctb0033-RO2531,3979.0,3852.0,1996,25,"{""type"":""Point"",""coordinates"":[-61.44055771680103,-12.900277447842102]}"
00000000000000000af0,ctb0033-RO2524,3948.0,3784.0,1996,26,"{""type"":""Point"",""coordinates"":[-61.10500144432712,-12.898056815517487]}"
000000000000000007dc,ctb0033-RO1634,4559.0,4433.0,1996,27,"{""type"":""Point"",""coordinates"":[-61.214722084848205,-12.79583192386724]}"
000000000000000007c6,ctb0033-RO1610,3539.0,3432.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.72666455634644,-12.885000567632995]}"
000000000000000007d2,ctb0033-RO1623,4067.0,4013.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.82083185239312,-12.9211103679638]}"
00000000000000000875,ctb0033-RO1789,3988.0,3983.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.03221999693277,-12.998609544272691]}"
0000000000000000088a,ctb0033-RO1810,3603.0,3473.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.785555903959306,-12.997775692375694]}"
00000000000000000ae5,ctb0033-RO2513,4673.0,4497.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.02444332469557,-12.87499880397012]}"
00000000000000000af3,ctb0033-RO2527,4193.0,4143.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.216942717172834,-12.830831408035735]}"
00000000000000000afd,ctb0033-RO2537,4201.0,4143.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.238890412557886,-12.920000051801491]}"
00000000000000000b0b,ctb0033-RO2551,3682.0,3605.0,1996,29,"{""type"":""Point"",""coordinates"":[-61.403056676941546,-12.74110983573935]}"
00000000000000000afe,ctb0033-RO2538,4504.0,4429.0,1996,30,"{""type"":""Point"",""coordinates"":[-61.26361166879819,-12.856390975274088]}"
00000000000000000891,ctb0033-RO1817,4588.0,4495.0,1996,31,"{""type"":""Point"",""coordinates"":[-61.07916541282345,-12.946389011835784]}"
00000000000000000adf,ctb0033-RO2507,3589.0,3440.0,1996,31,"{""type"":""Point"",""coordinates"":[-60.86555663595917,-12.924998704082402]}"
00000000000000000ae2,ctb0033-RO2510,4932.0,4924.0,1996,33,"{""type"":""Point"",""coordinates"":[-60.99416602854266,-12.9258325559794]}"
00000000000000000afc,ctb0033-RO2536,3999.0,3887.0,1996,33,"{""type"":""Point"",""coordinates"":[-61.314998349338104,-12.898890667414479]}"
000000000000000007cd,ctb0033-RO1618,4641.0,4575.0,1996,34,"{""type"":""Point"",""coordinates"":[-60.730833815831424,-12.947775792263407]}"
00000000000000000893,ctb0033-RO1819,4097.0,4044.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.15694551249871,-13.07111006830067]}"
00000000000000000af1,ctb0033-RO2525,4554.0,4385.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.112778116564336,-12.901387764004411]}"
00000000000000000890,ctb0033-RO1816,5031.0,4890.0,1996,35,"{""type"":""Point"",""coordinates"":[-61.080556652352136,-12.946112547570472]}"
00000000000000000892,ctb0033-RO1818,4111.0,3984.0,1996,37,"{""type"":""Point"",""coordinates"":[-61.16999730128215,-13.091942988422367]}"
00000000000000000873,ctb0033-RO1787,3753.0,3646.0,1996,39,"{""type"":""Point"",""coordinates"":[-60.82083185239312,-13.022220484350687]}"
000000000000000007da,ctb0033-RO1632,3932.0,3850.0,1996,40,"{""type"":""Point"",""coordinates"":[-61.160833848617315,-12.9419432880855]}"
000000000000000008b7,ctb0033-RO1856,4227.0,4175.0,1996,40,"{""type"":""Point"",""coordinates"":[-61.083053748942056,-13.047499128222672]}"
000000000000000007c8,ctb0033-RO1613,4922.0,4825.0,1996,41,"{""type"":""Point"",""coordinates"":[-60.734998616215336,-12.933332763951295]}"
00000000000000000894,ctb0033-RO1820,3978.0,3961.0,1996,41,"{""type"":""Point"",""coordinates"":[-61.12305634449252,-13.024998504306984]}"
00000000000000000ade,ctb0033-RO2506,4274.0,4052.0,1996,41,"{""type"":""Point"",""coordinates"":[-60.928889248221274,-12.96027911161727]}"
000000000000000008b8,ctb0033-RO1857,4268.0,4209.0,1996,42,"{""type"":""Point"",""coordinates"":[-61.07749770902947,-13.071667455932348]}"
00000000000000000b00,ctb0033-RO2540,3940.0,3819.0,1996,42,"{""type"":""Point"",""coordinates"":[-61.211667600626605,-12.879444527720402]}"
00000000000000000ae0,ctb0033-RO2508,4638.0,4582.0,1996,43,"{""type"":""Point"",""coordinates"":[-60.88083351616829,-12.92472223981709]}"
000000000000000007ca,ctb0033-RO1615,4391.0,4372.0,1996,44,"{""type"":""Point"",""coordinates"":[-60.74916518026214,-12.957777555926286]}"
000000000000000008b6,ctb0033-RO1855,3961.0,3891.0,1996,44,"{""type"":""Point"",""coordinates"":[-61.19666718468281,-13.051387464341275]}"
000000000000000008a0,ctb0033-RO1832,4119.0,4141.0,1996,46,"{""type"":""Point"",""coordinates"":[-60.93749977235547,-13.089445891832435]}"
0000000000000000088f,ctb0033-RO1815,4387.0,4279.0,1996,47,"{""type"":""Point"",""coordinates"":[-61.067776868732956,-12.93888880386389]}"
00000000000000000856,ctb0033-RO1758,4074.0,4029.0,1996,48,"{""type"":""Point"",""coordinates"":[-60.742498824187244,-13.11111266385113]}"
000000000000000007d3,ctb0033-RO1624,4050.0,3950.0,1996,49,"{""type"":""Point"",""coordinates"":[-60.80083278416842,-12.924164852185413]}"
000000000000000008b4,ctb0033-RO1852,4353.0,4062.0,1996,49,"{""type"":""Point"",""coordinates"":[-61.21916780859849,-13.000000783801367]}"
000000000000000008b5,ctb0033-RO1854,4405.0,4275.0,1996,49,"{""type"":""Point"",""coordinates"":[-61.20083198506673,-13.019166000129077]}"
