system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
0000000000000000232d,ctb0754-50,3789.0,3122.0,1985,39,"{""type"":""Point"",""coordinates"":[-61.0666710116717,-12.800001183352212]}"
0000000000000000232c,ctb0754-49,5429.0,4618.0,1985,55,"{""type"":""Point"",""coordinates"":[-61.23332991354424,-12.800001183352212]}"
00000000000000002331,ctb0754-60,5717.0,5605.0,1985,68,"{""type"":""Point"",""coordinates"":[-60.949998632608285,-12.966669003426857]}"
00000000000000002332,ctb0754-61,8717.0,9630.0,1985,190,"{""type"":""Point"",""coordinates"":[-60.93333051287051,-12.950000883689077]}"
00000000000000000ae4,ctb0033-RO2512,3118.0,2520.0,1996,8,"{""type"":""Point"",""coordinates"":[-61.030833216505144,-12.929167963567375]}"
000000000000000007d1,ctb0033-RO1622,2063.0,1502.0,1996,9,"{""type"":""Point"",""coordinates"":[-60.81694351627451,-12.898333279782799]}"
00000000000000000aee,ctb0033-RO2522,2058.0,1756.0,1996,9,"{""type"":""Point"",""coordinates"":[-61.033334772196135,-12.855557123377091]}"
00000000000000000b06,ctb0033-RO2546,1786.0,1578.0,1996,10,"{""type"":""Point"",""coordinates"":[-61.409446568751136,-12.783609527879745]}"
000000000000000007d6,ctb0033-RO1628,4412.0,4410.0,1996,11,"{""type"":""Point"",""coordinates"":[-60.80722267597801,-12.968889635751475]}"
00000000000000000ae6,ctb0033-RO2514,2588.0,2113.0,1996,11,"{""type"":""Point"",""coordinates"":[-61.02527717659256,-12.874998803970119]}"
00000000000000000aea,ctb0033-RO2518,1938.0,1449.0,1996,11,"{""type"":""Point"",""coordinates"":[-61.054720620848464,-12.872501707380188]}"
00000000000000000897,ctb0033-RO1823,2408.0,1692.0,1996,12,"{""type"":""Point"",""coordinates"":[-60.89777810017137,-12.991390259667162]}"
00000000000000000ae3,ctb0033-RO2511,2720.0,1613.0,1996,12,"{""type"":""Point"",""coordinates"":[-61.01000029638346,-12.92888704020101]}"
00000000000000000aeb,ctb0033-RO2519,1892.0,1554.0,1996,12,"{""type"":""Point"",""coordinates"":[-61.04999843283287,-12.880278379617396]}"
00000000000000000adb,ctb0033-RO2503,2717.0,1888.0,1996,13,"{""type"":""Point"",""coordinates"":[-60.88833372414018,-12.953331832176001]}"
00000000000000000aec,ctb0033-RO2520,2197.0,1683.0,1996,13,"{""type"":""Point"",""coordinates"":[-61.10972363234272,-13.002497880391298]}"
000000000000000007d0,ctb0033-RO1621,2919.0,1888.0,1996,14,"{""type"":""Point"",""coordinates"":[-60.730276428199744,-12.985000367857573]}"
000000000000000008b3,ctb0033-RO1851,2616.0,2105.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.15805582866102,-13.000277248066679]}"
00000000000000000af9,ctb0033-RO2533,2218.0,1751.0,1996,14,"{""type"":""Point"",""coordinates"":[-61.381666369188174,-12.901387764004411]}"
00000000000000000b08,ctb0033-RO2548,2207.0,1745.0,1996,15,"{""type"":""Point"",""coordinates"":[-61.42527637749087,-12.809445559383411]}"
00000000000000000b09,ctb0033-RO2549,2330.0,1889.0,1996,16,"{""type"":""Point"",""coordinates"":[-61.43110888166878,-12.806667539427112]}"
00000000000000000b0a,ctb0033-RO2550,2596.0,2007.0,1996,16,"{""type"":""Point"",""coordinates"":[-61.40472438073554,-12.808611707486419]}"
000000000000000007d8,ctb0033-RO1630,2647.0,1954.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.22333260898241,-12.898890667414479]}"
00000000000000000ae7,ctb0033-RO2515,2177.0,1823.0,1996,17,"{""type"":""Point"",""coordinates"":[-61.03555540452076,-12.886110883795304]}"
000000000000000007ce,ctb0033-RO1619,3016.0,2206.0,1996,18,"{""type"":""Point"",""coordinates"":[-60.731944131993735,-12.955556923601671]}"
00000000000000000ae8,ctb0033-RO2516,2367.0,1962.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.07222259248324,-12.84833337967051]}"
00000000000000000ae9,ctb0033-RO2517,2454.0,2018.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.06361206834904,-12.84833337967051]}"
00000000000000000b87,ctb0033-RO2676,2689.0,2322.0,1996,18,"{""type"":""Point"",""coordinates"":[-61.01222092870807,-12.998333080007377]}"
000000000000000007cf,ctb0033-RO1620,3098.0,2534.0,1996,19,"{""type"":""Point"",""coordinates"":[-60.73472215195003,-12.97777662415099]}"
00000000000000000af2,ctb0033-RO2526,2203.0,1999.0,1996,19,"{""type"":""Point"",""coordinates"":[-61.21555593674521,-12.854442348113732]}"
00000000000000000b0c,ctb0033-RO2552,2673.0,2325.0,1996,19,"{""type"":""Point"",""coordinates"":[-61.39388876517566,-12.736387647723753]}"
000000000000000007d4,ctb0033-RO1625,2725.0,2304.0,1996,20,"{""type"":""Point"",""coordinates"":[-60.852500388074695,-12.930831208260313]}"
00000000000000000add,ctb0033-RO2505,4707.0,2756.0,1996,20,"{""type"":""Point"",""coordinates"":[-60.935279140030865,-12.93000181546437]}"
00000000000000000aed,ctb0033-RO2521,2255.0,1935.0,1996,20,"{""type"":""Point"",""coordinates"":[-61.03638925641775,-12.853889419583103]}"
000000000000000007d5,ctb0033-RO1627,2914.0,2548.0,1996,21,"{""type"":""Point"",""coordinates"":[-60.83194393221831,-12.967779319589166]}"
00000000000000000aff,ctb0033-RO2539,2459.0,2083.0,1996,21,"{""type"":""Point"",""coordinates"":[-61.23500207643928,-12.898609744048112]}"
00000000000000000b07,ctb0033-RO2547,2132.0,2032.0,1996,22,"{""type"":""Point"",""coordinates"":[-61.409446568751136,-12.783890451246112]}"
000000000000000007cc,ctb0033-RO1617,3742.0,3130.0,1996,23,"{""type"":""Point"",""coordinates"":[-60.72722194397812,-12.96333359583888]}"
0000000000000000088b,ctb0033-RO1811,2664.0,2389.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.080003723821505,-12.906943803917004]}"
0000000000000000088d,ctb0033-RO1813,2907.0,2535.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.05388676895147,-12.965277763898182]}"
00000000000000000aef,ctb0033-RO2523,2931.0,2665.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.03694664404943,-12.867498595998219]}"
00000000000000000afb,ctb0033-RO2535,2674.0,2504.0,1996,23,"{""type"":""Point"",""coordinates"":[-61.336665121356795,-12.89972006021042]}"
000000000000000007db,ctb0033-RO1633,3051.0,2739.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.2200016604955,-12.816945767355307]}"
00000000000000000896,ctb0033-RO1822,0.0,0.0,1996,24,"{""type"":""Point"",""coordinates"":[-60.99972206845526,-12.962776208207199]}"
00000000000000000afa,ctb0033-RO2534,2762.0,2484.0,1996,24,"{""type"":""Point"",""coordinates"":[-61.376386793540895,-12.900277447842102]}"
000000000000000007d9,ctb0033-RO1631,2652.0,2526.0,1996,25,"{""type"":""Point"",""coordinates"":[-61.17583426456111,-12.898890667414479]}"
00000000000000000af7,ctb0033-RO2531,2999.0,2613.0,1996,25,"{""type"":""Point"",""coordinates"":[-61.44055771680103,-12.900277447842102]}"
00000000000000000af0,ctb0033-RO2524,2647.0,2473.0,1996,26,"{""type"":""Point"",""coordinates"":[-61.10500144432712,-12.898056815517487]}"
000000000000000007dc,ctb0033-RO1634,3037.0,2847.0,1996,27,"{""type"":""Point"",""coordinates"":[-61.214722084848205,-12.79583192386724]}"
000000000000000007c6,ctb0033-RO1610,3172.0,2845.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.72666455634644,-12.885000567632995]}"
000000000000000007d2,ctb0033-RO1623,3111.0,2826.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.82083185239312,-12.9211103679638]}"
00000000000000000875,ctb0033-RO1789,3033.0,2594.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.03221999693277,-12.998609544272691]}"
0000000000000000088a,ctb0033-RO1810,3023.0,2803.0,1996,28,"{""type"":""Point"",""coordinates"":[-60.785555903959306,-12.997775692375694]}"
00000000000000000ae5,ctb0033-RO2513,2415.0,2213.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.02444332469557,-12.87499880397012]}"
00000000000000000af3,ctb0033-RO2527,3271.0,2923.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.216942717172834,-12.830831408035735]}"
00000000000000000afd,ctb0033-RO2537,3025.0,2866.0,1996,28,"{""type"":""Point"",""coordinates"":[-61.238890412557886,-12.920000051801491]}"
00000000000000000b0b,ctb0033-RO2551,2784.0,2768.0,1996,29,"{""type"":""Point"",""coordinates"":[-61.403056676941546,-12.74110983573935]}"
00000000000000000afe,ctb0033-RO2538,3318.0,3035.0,1996,30,"{""type"":""Point"",""coordinates"":[-61.26361166879819,-12.856390975274088]}"
00000000000000000891,ctb0033-RO1817,3821.0,3368.0,1996,31,"{""type"":""Point"",""coordinates"":[-61.07916541282345,-12.946389011835784]}"
00000000000000000adf,ctb0033-RO2507,3512.0,2977.0,1996,31,"{""type"":""Point"",""coordinates"":[-60.86555663595917,-12.924998704082402]}"
00000000000000000ae2,ctb0033-RO2510,3682.0,3414.0,1996,33,"{""type"":""Point"",""coordinates"":[-60.99416602854266,-12.9258325559794]}"
00000000000000000afc,ctb0033-RO2536,2890.0,2876.0,1996,33,"{""type"":""Point"",""coordinates"":[-61.314998349338104,-12.898890667414479]}"
000000000000000007cd,ctb0033-RO1618,4022.0,3416.0,1996,34,"{""type"":""Point"",""coordinates"":[-60.730833815831424,-12.947775792263407]}"
00000000000000000893,ctb0033-RO1819,4382.0,4329.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.15694551249871,-13.07111006830067]}"
00000000000000000af1,ctb0033-RO2525,2926.0,3038.0,1996,34,"{""type"":""Point"",""coordinates"":[-61.112778116564336,-12.901387764004411]}"
00000000000000000890,ctb0033-RO1816,4577.0,3545.0,1996,35,"{""type"":""Point"",""coordinates"":[-61.080556652352136,-12.946112547570472]}"
00000000000000000892,ctb0033-RO1818,3730.0,3749.0,1996,37,"{""type"":""Point"",""coordinates"":[-61.16999730128215,-13.091942988422367]}"
00000000000000000873,ctb0033-RO1787,4045.0,4133.0,1996,39,"{""type"":""Point"",""coordinates"":[-60.82083185239312,-13.022220484350687]}"
000000000000000007da,ctb0033-RO1632,3616.0,3661.0,1996,40,"{""type"":""Point"",""coordinates"":[-61.160833848617315,-12.9419432880855]}"
000000000000000008b7,ctb0033-RO1856,3887.0,3902.0,1996,40,"{""type"":""Point"",""coordinates"":[-61.083053748942056,-13.047499128222672]}"
000000000000000007c8,ctb0033-RO1613,3748.0,3408.0,1996,41,"{""type"":""Point"",""coordinates"":[-60.734998616215336,-12.933332763951295]}"
00000000000000000894,ctb0033-RO1820,3952.0,3995.0,1996,41,"{""type"":""Point"",""coordinates"":[-61.12305634449252,-13.024998504306984]}"
00000000000000000ade,ctb0033-RO2506,4394.0,4649.0,1996,41,"{""type"":""Point"",""coordinates"":[-60.928889248221274,-12.96027911161727]}"
000000000000000008b8,ctb0033-RO1857,3982.0,4120.0,1996,42,"{""type"":""Point"",""coordinates"":[-61.07749770902947,-13.071667455932348]}"
00000000000000000b00,ctb0033-RO2540,3072.0,3255.0,1996,42,"{""type"":""Point"",""coordinates"":[-61.211667600626605,-12.879444527720402]}"
00000000000000000ae0,ctb0033-RO2508,4408.0,4920.0,1996,43,"{""type"":""Point"",""coordinates"":[-60.88083351616829,-12.92472223981709]}"
000000000000000007ca,ctb0033-RO1615,4258.0,4323.0,1996,44,"{""type"":""Point"",""coordinates"":[-60.74916518026214,-12.957777555926286]}"
000000000000000008b6,ctb0033-RO1855,3730.0,3952.0,1996,44,"{""type"":""Point"",""coordinates"":[-61.19666718468281,-13.051387464341275]}"
000000000000000008a0,ctb0033-RO1832,4339.0,4439.0,1996,46,"{""type"":""Point"",""coordinates"":[-60.93749977235547,-13.089445891832435]}"
0000000000000000088f,ctb0033-RO1815,4152.0,4337.0,1996,47,"{""type"":""Point"",""coordinates"":[-61.067776868732956,-12.93888880386389]}"
00000000000000000856,ctb0033-RO1758,5678.0,4828.0,1996,48,"{""type"":""Point"",""coordinates"":[-60.742498824187244,-13.11111266385113]}"
000000000000000007d3,ctb0033-RO1624,4200.0,4654.0,1996,49,"{""type"":""Point"",""coordinates"":[-60.80083278416842,-12.924164852185413]}"
000000000000000008b4,ctb0033-RO1852,4428.0,4694.0,1996,49,"{""type"":""Point"",""coordinates"":[-61.21916780859849,-13.000000783801367]}"
000000000000000008b5,ctb0033-RO1854,4080.0,4332.0,1996,49,"{""type"":""Point"",""coordinates"":[-61.20083198506673,-13.019166000129077]}"
00000000000000000877,ctb0033-RO1791,4399.0,4394.0,1996,50,"{""type"":""Point"",""coordinates"":[-61.061944364555046,-13.080001515801237]}"
00000000000000000899,ctb0033-RO1825,4930.0,5193.0,1996,50,"{""type"":""Point"",""coordinates"":[-60.8261114280404,-12.918889735639183]}"
000000000000000007d7,ctb0033-RO1629,3173.0,2907.0,1996,52,"{""type"":""Point"",""coordinates"":[-61.26055718457658,-12.898890667414479]}"
00000000000000000878,ctb0033-RO1792,4551.0,4836.0,1996,53,"{""type"":""Point"",""coordinates"":[-61.06472238451134,-13.01166579215718]}"
00000000000000000af8,ctb0033-RO2532,3889.0,4207.0,1996,54,"{""type"":""Point"",""coordinates"":[-61.402222825044554,-12.900834835473784]}"
00000000000000000872,ctb0033-RO1786,5273.0,5331.0,1996,57,"{""type"":""Point"",""coordinates"":[-60.81999800049613,-13.102221216350559]}"
00000000000000000ada,ctb0033-RO2502,4772.0,5070.0,1996,58,"{""type"":""Point"",""coordinates"":[-60.851109148546016,-12.966664544325806]}"
00000000000000000876,ctb0033-RO1790,4714.0,4956.0,1996,61,"{""type"":""Point"",""coordinates"":[-61.05166613662685,-13.04611234779505]}"
0000000000000000088c,ctb0033-RO1812,4676.0,5147.0,1996,61,"{""type"":""Point"",""coordinates"":[-61.053057376155536,-12.907777655813996]}"
000000000000000007cb,ctb0033-RO1616,5975.0,6035.0,1996,62,"{""type"":""Point"",""coordinates"":[-60.76805393232454,-12.959721723985588]}"
000000000000000007c9,ctb0033-RO1614,5411.0,5634.0,1996,64,"{""type"":""Point"",""coordinates"":[-60.74527684414353,-12.96333359583888]}"
00000000000000000898,ctb0033-RO1824,4968.0,5229.0,1996,64,"{""type"":""Point"",""coordinates"":[-60.853610704237,-12.99555506005108]}"
0000000000000000088e,ctb0033-RO1814,5638.0,5969.0,1996,69,"{""type"":""Point"",""coordinates"":[-61.09361290023663,-12.966664544325804]}"
00000000000000000895,ctb0033-RO1821,0.0,0.0,1996,72,"{""type"":""Point"",""coordinates"":[-61.03250092029914,-12.96694546769217]}"
00000000000000000adc,ctb0033-RO2504,5255.0,5836.0,1996,79,"{""type"":""Point"",""coordinates"":[-60.88527923991858,-12.9438874561448]}"
000000000000000007c7,ctb0033-RO1611,5461.0,5221.0,1996,93,"{""type"":""Point"",""coordinates"":[-60.726111627815825,-12.906109952020007]}"
00000000000000000874,ctb0033-RO1788,4893.0,4068.0,1996,102,"{""type"":""Point"",""coordinates"":[-60.99388956427735,-12.998333080007377]}"
