"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000002279","ctb0751-188",3405,3373,1985,12,-64.0833286790457,-11.1166682401711
"0000000000000000227a","ctb0751-193",4638,3675,1985,20,-62.2833278159023,-11.0166684399465
"00000000000000002282","ctb0751-213",3758,3704,1985,20,-61.4833294141057,-11.8666712009565
"00000000000000002324","ctb0754-32",5256,4823,1985,20,-62.1341218355529,-13.1467810131776
"0000000000000000227b","ctb0751-195",3359,3224,1985,23,-62.2666686143666,-11.2833316011447
"00000000000000002325","ctb0754-33",3567,3428,1985,23,-61.5666700127946,-12.2666704018548
"0000000000000000228f","ctb0751-85",3527,3472,1985,24,-62.2000005945166,-9.09999965684075
"00000000000000002291","ctb0751-91",3705,3548,1985,24,-62.1666732732431,-9.13333143721525
"000000000000000021db","ctb0713-81",4028,3907,1985,26,-64.0666739366111,-9.26666747691539
"0000000000000000226e","ctb0751-13",4596,4151,1985,26,-63.3166709758257,-8.25000135493184
"0000000000000000227c","ctb0751-198",3342,3185,1985,27,-62.666672274366,-11.6999989217808
"0000000000000000228d","ctb0751-79",3912,3871,1985,28,-64.7666680790821,-9.43333529699004
"0000000000000000232e","ctb0754-57",6501,5817,1985,28,-61.8666694134683,-13.5166723637631
"00000000000000002289","ctb0751-60",3777,3697,1985,29,-64.5833276801686,-9.6666666778137
"0000000000000000228c","ctb0751-76",3556,3494,1985,30,-64.1666737368357,-9.81666637815057
"00000000000000002273","ctb0751-168",4607,3614,1985,31,-62.7833268170252,-10.7833281409208
"00000000000000002293","ctb0751-96",4138,4111,1985,32,-62.3666684145912,-9.24999935717761
"00000000000000002290","ctb0751-90",4100,3998,1985,33,-62.4833318754525,-9.16666767669081
"00000000000000002323","ctb0754-31",3863,3750,1985,33,-62.3000003947411,-13.0166689035391
"00000000000000002322","ctb0754-25",3424,3198,1985,34,-62.0833282154531,-12.6000015829031
"0000000000000000226d","ctb0751-126",3523,3380,1985,35,-65.3167026531257,-10.4000015188613
