"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000002273","ctb0751-168",3395,3342,1985,31,-62.7833268170252,-10.7833281409208
"00000000000000000ba2","ctb0033-RO2791",1958,1345,1996,9,-62.896944711867,-10.9650008360403
"00000000000000000ea7","ctb0033-RO3603",1907,1399,1996,10,-62.8663909514488,-11.0083343800777
"00000000000000000ea9","ctb0033-RO3605",2109,1400,1996,14,-62.8233338716767,-10.9611124999217
"00000000000000000e6d","ctb0033-RO3536",2506,2288,1996,17,-62.1908326827507,-10.3944454789487
"00000000000000000ea8","ctb0033-RO3604",2029,1400,1996,17,-62.9122215920761,-10.9947207445615
"00000000000000000e72","ctb0033-RO3541",2514,2450,1996,21,-62.2513872750565,-10.3249994391423
"00000000000000000e71","ctb0033-RO3540",2675,2518,1996,22,-62.3141669587879,-10.3852775671828
"00000000000000000e73","ctb0033-RO3542",2763,2613,1996,28,-62.1616657027601,-10.3372218351298
"00000000000000000e7b","ctb0033-RO3550",2880,2916,1996,29,-62.4841657273495,-10.3233317353484
"00000000000000000e70","ctb0033-RO3539",3052,3058,1996,30,-62.3644433231655,-10.4836096636134
"00000000000000000e7a","ctb0033-RO3549",3149,3162,1996,34,-62.5316685308719,-10.3708345388707
"00000000000000000e6e","ctb0033-RO3537",3228,3370,1996,35,-62.2522211269535,-10.4255566269986
"00000000000000000ba4","ctb0033-RO2798",3540,3608,1996,40,-62.5180548953557,-10.6891653039752
"00000000000000000e6f","ctb0033-RO3538",3917,3881,1996,43,-62.2888883149159,-10.4625002792264
