id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0751-168,31,32.82,3395,3342,1985,1.82,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.78333|-10.78333
ctb0033-RO2791,9,8.56,1958,1345,1996,-0.44,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.89694444|-10.965
ctb0033-RO3603,10,10.33,1907,1399,1996,0.33,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.86638889|-11.00833333
ctb0033-RO3605,14,14.21,2109,1400,1996,0.210000000000001,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.82333333|-10.96111111
ctb0033-RO3536,17,17.17,2506,2288,1996,0.170000000000002,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.19083333|-10.39444444
ctb0033-RO3604,17,17.59,2029,1400,1996,0.59,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.91222222|-10.99472222
ctb0033-RO3541,21,21.33,2514,2450,1996,0.329999999999998,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.25138889|-10.325
ctb0033-RO3540,22,21.86,2675,2518,1996,-0.140000000000001,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.31416667|-10.38527778
ctb0033-RO3542,28,28.58,2763,2613,1996,0.579999999999998,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.16166667|-10.33722222
ctb0033-RO3550,29,28.54,2880,2916,1996,-0.460000000000001,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.48416667|-10.32333333
ctb0033-RO3539,30,30.34,3052,3058,1996,0.34,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.36444444|-10.48361111
ctb0033-RO3549,34,32.95,3149,3162,1996,-1.05,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.53166667|-10.37083333
ctb0033-RO3537,35,34.5,3228,3370,1996,-0.5,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.25222222|-10.42555556
ctb0033-RO2798,40,39.28,3540,3608,1996,-0.719999999999999,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.51805556|-10.68916667
ctb0033-RO3538,43,44.26,3917,3881,1996,1.26,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.28888889|-10.4625
