system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
00000000000000002273,ctb0751-168,3395.0,3342.0,1985,31,"{""type"":""Point"",""coordinates"":[-62.783326817025184,-10.78332814092078]}"
00000000000000000ba2,ctb0033-RO2791,1958.0,1345.0,1996,9,"{""type"":""Point"",""coordinates"":[-62.896944711866986,-10.96500083604027]}"
00000000000000000ea7,ctb0033-RO3603,1907.0,1399.0,1996,10,"{""type"":""Point"",""coordinates"":[-62.86639095144878,-11.008334380077658]}"
00000000000000000ea9,ctb0033-RO3605,2109.0,1400.0,1996,14,"{""type"":""Point"",""coordinates"":[-62.8233338716767,-10.961112499921663]}"
00000000000000000e6d,ctb0033-RO3536,2506.0,2288.0,1996,17,"{""type"":""Point"",""coordinates"":[-62.190832682750674,-10.394445478948711]}"
00000000000000000ea8,ctb0033-RO3604,2029.0,1400.0,1996,17,"{""type"":""Point"",""coordinates"":[-62.91222159207609,-10.994720744561487]}"
00000000000000000e72,ctb0033-RO3541,2514.0,2450.0,1996,21,"{""type"":""Point"",""coordinates"":[-62.251387275056466,-10.324999439142346]}"
00000000000000000e71,ctb0033-RO3540,2675.0,2518.0,1996,22,"{""type"":""Point"",""coordinates"":[-62.31416695878793,-10.385277567182825]}"
00000000000000000e73,ctb0033-RO3542,2763.0,2613.0,1996,28,"{""type"":""Point"",""coordinates"":[-62.161665702760075,-10.337221835129839]}"
00000000000000000e7b,ctb0033-RO3550,2880.0,2916.0,1996,29,"{""type"":""Point"",""coordinates"":[-62.4841657273495,-10.323331735348352]}"
00000000000000000e70,ctb0033-RO3539,3052.0,3058.0,1996,30,"{""type"":""Point"",""coordinates"":[-62.36444332316554,-10.483609663613413]}"
00000000000000000e7a,ctb0033-RO3549,3149.0,3162.0,1996,34,"{""type"":""Point"",""coordinates"":[-62.53166853087186,-10.370834538870714]}"
00000000000000000e6e,ctb0033-RO3537,3228.0,3370.0,1996,35,"{""type"":""Point"",""coordinates"":[-62.25222112695346,-10.4255566269986]}"
00000000000000000ba4,ctb0033-RO2798,3540.0,3608.0,1996,40,"{""type"":""Point"",""coordinates"":[-62.51805489535569,-10.68916530397516]}"
00000000000000000e6f,ctb0033-RO3538,3917.0,3881.0,1996,43,"{""type"":""Point"",""coordinates"":[-62.288888314915944,-10.462500279226402]}"
