"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"000000000000000021db","ctb0713-81",3377,3255,1985,26,-64.0666739366111,-9.26666747691539
"0000000000000000226e","ctb0751-13",3295,3154,1985,26,-63.3166709758257,-8.25000135493184
"0000000000000000228d","ctb0751-79",3441,3274,1985,28,-64.7666680790821,-9.43333529699004
"00000000000000002289","ctb0751-60",3314,3101,1985,29,-64.5833276801686,-9.6666666778137
"0000000000000000228c","ctb0751-76",3962,3745,1985,30,-64.1666737368357,-9.81666637815057
"000000000000000021de","ctb0713-85",3877,3669,1985,41,-66.4832971298293,-9.78329892496763
"000000000000000021dd","ctb0713-84",3528,3340,1985,44,-66.7666997563821,-9.76669769174565
"00000000000000002284","ctb0751-23",4748,4390,1985,49,-63.5166705762749,-8.4833327357555
"0000000000000000226b","ctb0751-11",3675,3455,1985,55,-63.5667016900946,-8.6666998892753
"0000000000000000228a","ctb0751-61",4891,4653,1985,71,-65.266671539306,-9.7499983583005
"00000000000000002285","ctb0751-24",7173,6590,1985,101,-63.9833288788212,-8.76666847579251
"00000000000000000d9b","ctb0033-RO3326",0,0,1996,2,-65.0166675796436,-9.43750009737396
"00000000000000000a2b","ctb0033-RO2327",2763,2654,1996,5,-62.8911122076891,-8.22027698730957
"00000000000000000bfc","ctb0033-RO2905",3278,2803,1996,8,-64.658610683254,-9.36138770149269
"00000000000000000d91","ctb0033-RO3316",2747,2610,1996,8,-64.7677783952444,-9.57527740172333
"00000000000000000d87","ctb0033-RO3306",2973,2719,1996,9,-64.5274952758784,-9.52444364971404
"00000000000000000a5f","ctb0033-RO2379",3076,2894,1996,10,-63.903056141657,-8.67166732784884
"00000000000000000f06","ctb0033-RO3708",2791,2657,1996,10,-63.858331358091,-8.89305723605137
"00000000000000000da1","ctb0033-RO3332",0,0,1996,12,-65.0783324881117,-9.48499844179526
"00000000000000000fa4","ctb0033-RO3899",2936,2734,1996,12,-64.3186131461308,-9.19166539719643
"000000000000000008e3","ctb0033-RO2000",3202,2860,1996,13,-64.447779926346,-9.52305686928642
"00000000000000000a6d","ctb0033-RO2393",2969,2799,1996,14,-63.5786119490083,-8.62472191195817
"00000000000000000a6e","ctb0033-RO2394",3206,2977,1996,14,-63.6799985296605,-8.59583139623289
"00000000000000000c0d","ctb0033-RO2922",2975,2864,1996,14,-65.2922221883423,-9.81027648634098
"000000000000000008df","ctb0033-RO1896",2756,2636,1996,15,-64.4372207750514,-9.27333383299029
"00000000000000000a34","ctb0033-RO2336",3239,3119,1996,15,-62.9658333640417,-8.43944626318749
"00000000000000000a35","ctb0033-RO2337",3314,2907,1996,15,-63.0202789879042,-8.3988907391064
"00000000000000000c58","ctb0033-RO2997",4294,3237,1996,15,-66.3094456979575,-9.80666461448769
"00000000000000000f00","ctb0033-RO3702",3829,3559,1996,15,-63.859999061885,-8.94611162038528
"00000000000000000a6c","ctb0033-RO2392",3135,2851,1996,16,-63.6377797608865,-8.69749890025145
"00000000000000000c04","ctb0033-RO2913",2801,2705,1996,16,-64.7469454751227,-9.38777666152698
"00000000000000000c31","ctb0033-RO2958",3206,2961,1996,16,-65.7008319133748,-9.57638771788564
"00000000000000000c59","ctb0033-RO2998",3328,2885,1996,16,-66.2183328861325,-9.80944263444399
"00000000000000000d93","ctb0033-RO3318",2952,2766,1996,16,-64.8355567312568,-9.54833551315841
"00000000000000000d96","ctb0033-RO3321",2774,2686,1996,16,-64.9058321638591,-9.61972126192302
"00000000000000000a2c","ctb0033-RO2328",3668,3297,1996,17,-62.8663909514488,-8.22166822683824
"00000000000000000bfb","ctb0033-RO2904",2843,2741,1996,17,-64.6463882872665,-9.37166592942088
"00000000000000000c01","ctb0033-RO2910",3061,2767,1996,17,-64.6891644436722,-9.33638998098707
"00000000000000000c2a","ctb0033-RO2951",3112,3026,1996,17,-65.6847211812687,-9.72694480585418
"00000000000000000d85","ctb0033-RO3304",3046,2972,1996,17,-66.0763907813992,-9.76000012196337
"00000000000000000e90","ctb0033-RO3580",4293,3577,1996,17,-62.9155569996641,-8.05861227861689
"00000000000000000e99","ctb0033-RO3589",NA,NA,1996,17,-62.9086097202228,-8.380001987044
"00000000000000000c26","ctb0033-RO2947",3247,3058,1996,18,-65.5725034441577,-9.81777669431287
"00000000000000000d88","ctb0033-RO3307",3141,2803,1996,18,-64.4805543190888,-9.51861114553614
"00000000000000000d9e","ctb0033-RO3329",3284,2961,1996,18,-65.0544450837683,-9.40805665311805
"00000000000000000da4","ctb0033-RO3335",2920,2803,1996,18,-65.1261117558993,-9.49833115394506
"00000000000000000f08","ctb0033-RO3710",3845,3425,1996,18,-63.7613905011891,-8.8519443243386
"00000000000000000f27","ctb0033-RO3741",4058,3517,1996,18,-63.9608327140065,-8.62333513153054
"000000000000000008de","ctb0033-RO1895",2916,2769,1996,19,-64.4319456585052,-9.21722050533373
"00000000000000000a37","ctb0033-RO2339",3199,3121,1996,19,-62.9980548282539,-8.35472334317201
