"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"000000000000000021db","ctb0713-81",3958,3856,1985,26,-64.0666739366111,-9.26666747691539
"0000000000000000226e","ctb0751-13",4688,4280,1985,26,-63.3166709758257,-8.25000135493184
"0000000000000000228d","ctb0751-79",3930,3898,1985,28,-64.7666680790821,-9.43333529699004
"00000000000000002289","ctb0751-60",3753,3666,1985,29,-64.5833276801686,-9.6666666778137
"0000000000000000228c","ctb0751-76",3527,3499,1985,30,-64.1666737368357,-9.81666637815057
"000000000000000021de","ctb0713-85",4227,3925,1985,41,-66.4832971298293,-9.78329892496763
"000000000000000021dd","ctb0713-84",3906,3758,1985,44,-66.7666997563821,-9.76669769174565
"00000000000000002284","ctb0751-23",5624,4547,1985,49,-63.5166705762749,-8.4833327357555
"0000000000000000226b","ctb0751-11",3897,3793,1985,55,-63.5667016900946,-8.6666998892753
"0000000000000000228a","ctb0751-61",9583,6404,1985,71,-65.266671539306,-9.7499983583005
"00000000000000002285","ctb0751-24",4741,4126,1985,101,-63.9833288788212,-8.76666847579251
"00000000000000000d9b","ctb0033-RO3326",0,0,1996,2,-65.0166675796436,-9.43750009737396
"00000000000000000a2b","ctb0033-RO2327",3160,3086,1996,5,-62.8911122076891,-8.22027698730957
"00000000000000000bfc","ctb0033-RO2905",3491,3199,1996,8,-64.658610683254,-9.36138770149269
"00000000000000000d91","ctb0033-RO3316",3160,3151,1996,8,-64.7677783952444,-9.57527740172333
"00000000000000000d87","ctb0033-RO3306",3218,3176,1996,9,-64.5274952758784,-9.52444364971404
"00000000000000000a5f","ctb0033-RO2379",4324,4237,1996,10,-63.903056141657,-8.67166732784884
"00000000000000000f06","ctb0033-RO3708",3223,3157,1996,10,-63.858331358091,-8.89305723605137
"00000000000000000da1","ctb0033-RO3332",0,0,1996,12,-65.0783324881117,-9.48499844179526
"00000000000000000fa4","ctb0033-RO3899",3222,3195,1996,12,-64.3186131461308,-9.19166539719643
"000000000000000008e3","ctb0033-RO2000",3328,3257,1996,13,-64.447779926346,-9.52305686928642
