id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0713-81,26,27.45,3958,3856,1985,1.45,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.06667|-9.266667
ctb0751-13,26,25.61,4688,4280,1985,-0.390000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.31667|-8.25
ctb0751-79,28,27.49,3930,3898,1985,-0.510000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.76667|-9.433333
ctb0751-60,29,38.75,3753,3666,1985,9.75,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.58333|-9.666667
ctb0751-76,30,30.52,3527,3499,1985,0.52,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.16667|-9.816667
ctb0713-85,41,40.42,4227,3925,1985,-0.579999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.4833|-9.7833
ctb0713-84,44,42.64,3906,3758,1985,-1.36,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.7667|-9.7667
ctb0751-23,49,50.3,5624,4547,1985,1.3,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.51667|-8.483333
ctb0751-11,55,53.85,3897,3793,1985,-1.15,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.5667|-8.6667
ctb0751-61,71,69.18,9583,6404,1985,-1.81999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.26667|-9.75
ctb0751-24,101,102.66,4741,4126,1985,1.66,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.98333|-8.766667
ctb0033-RO3326,2,1.77,0,0,1996,-0.23,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.01666667|-9.4375
ctb0033-RO2327,5,5.4,3160,3086,1996,0.4,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.89111111|-8.22027778
ctb0033-RO2905,8,8.38,3491,3199,1996,0.380000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.65861111|-9.36138889
ctb0033-RO3316,8,8.65,3160,3151,1996,0.65,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.76777778|-9.57527778
ctb0033-RO3306,9,8.98,3218,3176,1996,-0.0199999999999996,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.5275|-9.52444444
ctb0033-RO2379,10,9.41,4324,4237,1996,-0.59,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.90305556|-8.67166667
ctb0033-RO3708,10,10.55,3223,3157,1996,0.550000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.85833333|-8.89305556
ctb0033-RO3332,12,11.92,0,0,1996,-0.0800000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.07833333|-9.485
ctb0033-RO3899,12,11.71,3222,3195,1996,-0.289999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.31861111|-9.19166667
ctb0033-RO2000,13,12.82,3328,3257,1996,-0.18,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.44777778|-9.52305556
ctb0033-RO2393,14,14.27,3539,3448,1996,0.27,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.57861111|-8.62472222
ctb0033-RO2394,14,13.67,3947,3854,1996,-0.33,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.68|-8.59583333
ctb0033-RO2922,14,13.57,3744,3721,1996,-0.43,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.29222222|-9.81027778
ctb0033-RO1896,15,15.6,3599,3557,1996,0.6,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.43722222|-9.27333333
ctb0033-RO2336,15,14.79,4043,3925,1996,-0.210000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.96583333|-8.43944444
ctb0033-RO2337,15,15,3565,3511,1996,0,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.02027778|-8.39888889
ctb0033-RO2997,15,14.38,4055,3548,1996,-0.619999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.30944444|-9.80666667
ctb0033-RO3702,15,14.64,3683,3588,1996,-0.359999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.86|-8.94611111
ctb0033-RO2392,16,16.63,3820,3752,1996,0.629999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.63777778|-8.6975
ctb0033-RO2913,16,15.81,3571,3468,1996,-0.19,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.74694444|-9.38777778
ctb0033-RO2958,16,16.71,3434,3383,1996,0.710000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.70083333|-9.57638889
ctb0033-RO2998,16,15.79,3819,3798,1996,-0.210000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.21833333|-9.80944444
ctb0033-RO3318,16,16.06,3574,3464,1996,0.0599999999999987,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.83555556|-9.54833333
ctb0033-RO3321,16,15.65,3391,3309,1996,-0.35,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.90583333|-9.61972222
ctb0033-RO2328,17,16.77,3354,3271,1996,-0.23,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.86638889|-8.22166667
ctb0033-RO2904,17,17.14,3269,3232,1996,0.140000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.64638889|-9.37166667
ctb0033-RO2910,17,17.68,3271,3127,1996,0.68,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.68916667|-9.33638889
ctb0033-RO2951,17,16.96,4161,3769,1996,-0.0399999999999991,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.68472222|-9.72694444
ctb0033-RO3304,17,16.8,3765,3688,1996,-0.199999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.07638889|-9.76
ctb0033-RO3580,17,16.76,11314,5703,1996,-0.239999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.91555556|-8.05861111
ctb0033-RO3589,17,16.65,,,1996,-0.350000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.90861111|-8.38
ctb0033-RO2947,18,18.07,3830,3743,1996,0.0700000000000003,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.5725|-9.81777778
ctb0033-RO3307,18,17.39,3277,3226,1996,-0.609999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.48055556|-9.51861111
ctb0033-RO3329,18,17.63,3413,3279,1996,-0.370000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.05444444|-9.40805556
ctb0033-RO3335,18,18.07,3412,3335,1996,0.0700000000000003,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.12611111|-9.49833333
ctb0033-RO3710,18,17.68,3391,3279,1996,-0.32,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.76138889|-8.85194444
ctb0033-RO3741,18,17.46,4049,3981,1996,-0.539999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.96083333|-8.62333333
ctb0033-RO1895,19,18.95,3830,3689,1996,-0.0500000000000007,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.43194444|-9.21722222
ctb0033-RO2339,19,19.09,4060,3856,1996,0.0899999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.99805556|-8.35472222
ctb0033-RO2912,19,19.11,4016,3950,1996,0.109999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.74694444|-9.37722222
ctb0033-RO2918,19,19.04,4283,4032,1996,0.0399999999999991,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.43638889|-9.66583333
ctb0033-RO2939,19,20.06,3554,3448,1996,1.06,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.52666667|-9.77083333
ctb0033-RO3302,19,18.85,3979,3962,1996,-0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.13111111|-9.76416667
ctb0033-RO3311,19,19.15,3476,3443,1996,0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.50888889|-9.33527778
ctb0033-RO3341,19,18.8,3866,3740,1996,-0.199999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.87611111|-9.34722222
