"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year"
"ctb0713-81",26,27.45,3958,3856,1985
"ctb0751-13",26,25.61,4688,4280,1985
"ctb0751-79",28,27.49,3930,3898,1985
"ctb0751-60",29,38.75,3753,3666,1985
"ctb0751-76",30,30.52,3527,3499,1985
"ctb0713-85",41,40.42,4227,3925,1985
"ctb0713-84",44,42.64,3906,3758,1985
"ctb0751-23",49,50.3,5624,4547,1985
"ctb0751-11",55,53.85,3897,3793,1985
"ctb0751-61",71,69.18,9583,6404,1985
"ctb0751-24",101,102.66,4741,4126,1985
"ctb0033-RO3326",2,1.77,0,0,1996
"ctb0033-RO2327",5,5.4,3160,3086,1996
"ctb0033-RO2905",8,8.38,3491,3199,1996
"ctb0033-RO3316",8,8.65,3160,3151,1996
"ctb0033-RO3306",9,8.98,3218,3176,1996
"ctb0033-RO2379",10,9.41,4324,4237,1996
"ctb0033-RO3708",10,10.55,3223,3157,1996
"ctb0033-RO3332",12,11.92,0,0,1996
"ctb0033-RO3899",12,11.71,3222,3195,1996
"ctb0033-RO2000",13,12.82,3328,3257,1996
"ctb0033-RO2393",14,14.27,3539,3448,1996
"ctb0033-RO2394",14,13.67,3947,3854,1996
"ctb0033-RO2922",14,13.57,3744,3721,1996
"ctb0033-RO1896",15,15.6,3599,3557,1996
"ctb0033-RO2336",15,14.79,4043,3925,1996
"ctb0033-RO2337",15,15,3565,3511,1996
"ctb0033-RO2997",15,14.38,4055,3548,1996
"ctb0033-RO3702",15,14.64,3683,3588,1996
"ctb0033-RO2392",16,16.63,3820,3752,1996
"ctb0033-RO2913",16,15.81,3571,3468,1996
"ctb0033-RO2958",16,16.71,3434,3383,1996
"ctb0033-RO2998",16,15.79,3819,3798,1996
"ctb0033-RO3318",16,16.06,3574,3464,1996
"ctb0033-RO3321",16,15.65,3391,3309,1996
"ctb0033-RO2328",17,16.77,3354,3271,1996
"ctb0033-RO2904",17,17.14,3269,3232,1996
"ctb0033-RO2910",17,17.68,3271,3127,1996
"ctb0033-RO2951",17,16.96,4161,3769,1996
"ctb0033-RO3304",17,16.8,3765,3688,1996
"ctb0033-RO3580",17,16.76,11314,5703,1996
"ctb0033-RO3589",17,16.65,NA,NA,1996
"ctb0033-RO2947",18,18.07,3830,3743,1996
"ctb0033-RO3307",18,17.39,3277,3226,1996
"ctb0033-RO3329",18,17.63,3413,3279,1996
"ctb0033-RO3335",18,18.07,3412,3335,1996
"ctb0033-RO3710",18,17.68,3391,3279,1996
"ctb0033-RO3741",18,17.46,4049,3981,1996
"ctb0033-RO1895",19,18.95,3830,3689,1996
"ctb0033-RO2339",19,19.09,4060,3856,1996
"ctb0033-RO2912",19,19.11,4016,3950,1996
"ctb0033-RO2918",19,19.04,4283,4032,1996
"ctb0033-RO2939",19,20.06,3554,3448,1996
"ctb0033-RO3302",19,18.85,3979,3962,1996
"ctb0033-RO3311",19,19.15,3476,3443,1996
"ctb0033-RO3341",19,18.8,3866,3740,1996
"ctb0033-RO3596",19,18.47,4542,3997,1996
"ctb0033-RO3712",19,18.75,3555,3504,1996
"ctb0033-RO3723",19,19.36,3323,3271,1996
"ctb0033-RO3745",19,20.6,3444,3231,1996
"ctb0033-RO3893",19,19.19,3276,3240,1996
"ctb0033-RO1897",20,19.99,3809,3685,1996
"ctb0033-RO2906",20,19.7,3838,3751,1996
"ctb0033-RO2926",20,20,3466,3449,1996
"ctb0033-RO2942",20,24.37,3524,3480,1996
"ctb0033-RO3312",20,20.14,3434,3406,1996
"ctb0033-RO3348",20,18.33,5040,3905,1996
"ctb0033-RO3898",20,19.66,3652,3471,1996
"ctb0033-RO2335",21,20.81,3370,3299,1996
"ctb0033-RO2381",21,20.27,3905,3868,1996
"ctb0033-RO2399",21,21.03,3400,3288,1996
"ctb0033-RO2902",21,21.56,3506,3442,1996
"ctb0033-RO2911",21,20.58,3359,3300,1996
"ctb0033-RO2923",21,21.15,3802,3752,1996
"ctb0033-RO2948",21,20.81,3420,3342,1996
"ctb0033-RO2952",21,21.09,3542,3504,1996
"ctb0033-RO2953",21,20.81,NA,NA,1996
"ctb0033-RO2954",21,22.36,4995,3912,1996
"ctb0033-RO2977",21,20.57,3678,3639,1996
"ctb0033-RO2994",21,20.35,NA,NA,1996
"ctb0033-RO3338",21,20.4,3411,3346,1996
"ctb0033-RO3350",21,20.66,3819,3698,1996
"ctb0033-RO3742",21,20.65,4007,3867,1996
"ctb0033-RO2080",22,22.08,3654,3597,1996
"ctb0033-RO2322",22,23.22,4392,4195,1996
"ctb0033-RO2340",22,22.53,3908,3812,1996
"ctb0033-RO2342",22,21.58,3495,3407,1996
"ctb0033-RO2384",22,22.45,3711,3687,1996
"ctb0033-RO3315",22,22.36,3362,3272,1996
"ctb0033-RO3330",22,23.85,0,0,1996
"ctb0033-RO3339",22,21.89,4018,3984,1996
"ctb0033-RO2330",23,23.49,3197,3140,1996
"ctb0033-RO2901",23,22.07,3278,3238,1996
"ctb0033-RO2908",23,22.87,3335,3288,1996
"ctb0033-RO2965",23,23.15,3467,3422,1996
"ctb0033-RO3317",23,22.54,3405,3363,1996
"ctb0033-RO3319",23,22.64,3832,3698,1996
"ctb0033-RO3327",23,23.59,3806,3783,1996
"ctb0033-RO3333",23,22.61,4138,4183,1996
"ctb0033-RO3334",23,24.89,0,0,1996
"ctb0033-RO3349",23,21.75,5749,3907,1996
"ctb0033-RO3588",23,21.78,3424,3342,1996
"ctb0033-RO3894",23,23.36,3421,3369,1996
"ctb0033-RO3896",23,24.28,3475,3393,1996
"ctb0033-RO2950",24,24.14,3682,3533,1996
"ctb0033-RO2967",24,24.37,3683,3596,1996
"ctb0033-RO2991",24,24.32,3503,3477,1996
"ctb0033-RO2995",24,24.55,3967,3856,1996
"ctb0033-RO3320",24,23.59,4507,4090,1996
"ctb0033-RO3594",24,23.03,4006,3898,1996
"ctb0033-RO3711",24,23.49,3781,3696,1996
"ctb0033-RO3715",24,24.3,4034,3923,1996
"ctb0033-RO2390",25,24.72,3878,3807,1996
"ctb0033-RO2919",25,24.07,3861,3789,1996
"ctb0033-RO2944",25,24.38,4053,4049,1996
"ctb0033-RO2963",25,29.78,3338,3245,1996
"ctb0033-RO3310",25,25.35,3744,3687,1996
"ctb0033-RO3322",25,32.75,3395,3310,1996
"ctb0033-RO3323",25,25.71,3521,3456,1996
"ctb0033-RO3705",25,24.18,4088,3886,1996
"ctb0033-RO1894",26,24.81,7376,4149,1996
"ctb0033-RO2329",26,26.1,4250,4013,1996
"ctb0033-RO2973",26,26.01,3930,3853,1996
"ctb0033-RO3347",26,25.53,4947,4031,1996
"ctb0033-RO3353",26,25.57,3917,3829,1996
"ctb0033-RO3591",26,25.35,NA,NA,1996
"ctb0033-RO3735",26,25.23,4017,3926,1996
"ctb0033-RO2909",27,26.5,3428,3244,1996
"ctb0033-RO2920",27,26.13,4097,3774,1996
"ctb0033-RO2935",27,27.09,3583,3518,1996
"ctb0033-RO2941",27,26.49,3807,3786,1996
"ctb0033-RO2955",27,27.22,4203,4028,1996
