id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,soc_stock_g_m2,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0751-188,12,11.93,3388,3301,1985,1193,-0.0700000000000003,11,RO,Rondônia,1,Norte,1100106,Guajará-Mirim,11,RO,-64.08333|-11.11667
ctb0751-193,20,21.39,4608,3687,1985,2139,1.39,11,RO,Rondônia,1,Norte,1101708,Urupá,11,RO,-62.28333|-11.01667
ctb0751-213,20,20.13,3804,3741,1985,2013,0.129999999999999,11,RO,Rondônia,1,Norte,1101484,São Felipe D'oeste,11,RO,-61.48333|-11.86667
ctb0754-32,20,20.03,5112,4656,1985,2003,0.0300000000000011,11,RO,Rondônia,1,Norte,1100379,Alto Alegre Dos Parecis,11,RO,-62.13412|-13.14678
ctb0751-195,23,22.84,3411,3245,1985,2284,-0.16,11,RO,Rondônia,1,Norte,1100346,Alvorada D'oeste,11,RO,-62.26667|-11.28333
ctb0754-33,23,22.96,3619,3363,1985,2296,-0.0399999999999991,11,RO,Rondônia,1,Norte,1101450,Parecis,11,RO,-61.56667|-12.26667
ctb0751-85,24,24.01,3631,3504,1985,2401,0.0100000000000016,11,RO,Rondônia,1,Norte,1100130,Machadinho D'oeste,11,RO,-62.2|-9.1
ctb0751-91,24,24.25,3668,3565,1985,2425,0.25,11,RO,Rondônia,1,Norte,1100130,Machadinho D'oeste,11,RO,-62.16667|-9.133333
ctb0713-81,26,27.45,3958,3856,1985,2745,1.45,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.06667|-9.266667
ctb0751-13,26,25.61,4688,4280,1985,2561,-0.390000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.31667|-8.25
ctb0751-198,27,28.39,3409,3247,1985,2839,1.39,11,RO,Rondônia,1,Norte,1100320,São Miguel Do Guaporé,11,RO,-62.66667|-11.7
ctb0751-79,28,27.49,3930,3898,1985,2749,-0.510000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.76667|-9.433333
ctb0754-57,28,28.56,6321,5459,1985,2856,0.559999999999999,11,RO,Rondônia,1,Norte,1101468,Pimenteiras Do Oeste,11,RO,-61.86667|-13.51667
ctb0751-60,29,38.75,3753,3666,1985,3875,9.75,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.58333|-9.666667
ctb0751-76,30,30.52,3527,3499,1985,3052,0.52,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.16667|-9.816667
ctb0751-168,31,32.82,4610,3628,1985,3282,1.82,11,RO,Rondônia,1,Norte,1100114,Jaru,11,RO,-62.78333|-10.78333
ctb0751-96,32,33.33,4135,4093,1985,3333,1.33,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.36667|-9.25
ctb0751-90,33,32.95,4124,4013,1985,3295,-0.0499999999999972,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.48333|-9.166667
ctb0754-31,33,32.71,3925,3777,1985,3271,-0.289999999999999,11,RO,Rondônia,1,Norte,1100015,Alta Floresta D'oeste,11,RO,-62.3|-13.01667
ctb0754-25,34,33.64,3524,3252,1985,3364,-0.359999999999999,11,RO,Rondônia,1,Norte,1100015,Alta Floresta D'oeste,11,RO,-62.08333|-12.6
ctb0751-126,35,35.91,3557,3374,1985,3591,0.909999999999997,11,RO,Rondônia,1,Norte,1100338,Nova Mamoré,11,RO,-65.3167|-10.4
ctb0751-101,36,35.51,3691,3591,1985,3551,-0.490000000000002,11,RO,Rondônia,1,Norte,1100130,Machadinho D'oeste,11,RO,-62.25|-9.35
ctb0751-151,37,40.48,4143,3903,1985,4048,3.48,11,RO,Rondônia,1,Norte,1101609,Theobroma,11,RO,-62.56667|-10.15
ctb0751-95,37,36.53,4110,4049,1985,3653,-0.469999999999999,11,RO,Rondônia,1,Norte,1100940,Cujubim,11,RO,-62.58333|-9.216667
ctb0754-41,38,38.88,4258,4132,1985,3888,0.880000000000003,11,RO,Rondônia,1,Norte,1101450,Parecis,11,RO,-61.46667|-12.46667
ctb0751-184,39,38.8,4004,3923,1985,3880,-0.200000000000003,11,RO,Rondônia,1,Norte,1100106,Guajará-Mirim,11,RO,-64.73333|-11.15
ctb0751-65,39,38.51,5394,4290,1985,3851,-0.490000000000002,11,RO,Rondônia,1,Norte,1101104,Itapuã Do Oeste,11,RO,-63.2|-9.1667
ctb0754-50,39,38.34,5137,4547,1985,3834,-0.659999999999997,11,RO,Rondônia,1,Norte,1100072,Corumbiara,11,RO,-61.06667|-12.8
ctb0754-58,40,44.34,6312,5316,1985,4434,4.34,11,RO,Rondônia,1,Norte,1101468,Pimenteiras Do Oeste,11,RO,-61.1|-13.48333
