system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
000000000000000021db,ctb0713-81,3958.0,3856.0,1985,26,"{""type"":""Point"",""coordinates"":[-64.06667393661112,-9.26666747691539]}"
0000000000000000226e,ctb0751-13,4688.0,4280.0,1985,26,"{""type"":""Point"",""coordinates"":[-63.31667097582573,-8.250001354931838]}"
0000000000000000228d,ctb0751-79,3930.0,3898.0,1985,28,"{""type"":""Point"",""coordinates"":[-64.76666807908211,-9.433335296990037]}"
00000000000000002289,ctb0751-60,3753.0,3666.0,1985,29,"{""type"":""Point"",""coordinates"":[-64.58332768016864,-9.666666677813701]}"
0000000000000000228c,ctb0751-76,3527.0,3499.0,1985,30,"{""type"":""Point"",""coordinates"":[-64.1666737368357,-9.816666378150567]}"
000000000000000021de,ctb0713-85,4227.0,3925.0,1985,41,"{""type"":""Point"",""coordinates"":[-66.48329712982928,-9.783298924967632]}"
000000000000000021dd,ctb0713-84,3906.0,3758.0,1985,44,"{""type"":""Point"",""coordinates"":[-66.76669975638208,-9.76669769174565]}"
00000000000000002284,ctb0751-23,5624.0,4547.0,1985,49,"{""type"":""Point"",""coordinates"":[-63.5166705762749,-8.483332735755498]}"
0000000000000000226b,ctb0751-11,3897.0,3793.0,1985,55,"{""type"":""Point"",""coordinates"":[-63.566701690094554,-8.666699889275302]}"
0000000000000000228a,ctb0751-61,9583.0,6404.0,1985,71,"{""type"":""Point"",""coordinates"":[-65.26667153930605,-9.749998358300497]}"
00000000000000002285,ctb0751-24,4741.0,4126.0,1985,101,"{""type"":""Point"",""coordinates"":[-63.98332887882117,-8.766668475792505]}"
00000000000000000d9b,ctb0033-RO3326,0.0,0.0,1996,2,"{""type"":""Point"",""coordinates"":[-65.01666757964355,-9.437500097373956]}"
00000000000000000a2b,ctb0033-RO2327,3160.0,3086.0,1996,5,"{""type"":""Point"",""coordinates"":[-62.891112207689076,-8.220276987309566]}"
00000000000000000bfc,ctb0033-RO2905,3491.0,3199.0,1996,8,"{""type"":""Point"",""coordinates"":[-64.65861068325395,-9.361387701492689]}"
00000000000000000d91,ctb0033-RO3316,3160.0,3151.0,1996,8,"{""type"":""Point"",""coordinates"":[-64.76777839524442,-9.575277401723328]}"
00000000000000000d87,ctb0033-RO3306,3218.0,3176.0,1996,9,"{""type"":""Point"",""coordinates"":[-64.52749527587844,-9.524443649714042]}"
00000000000000000a5f,ctb0033-RO2379,4324.0,4237.0,1996,10,"{""type"":""Point"",""coordinates"":[-63.90305614165704,-8.67166732784884]}"
00000000000000000f06,ctb0033-RO3708,3223.0,3157.0,1996,10,"{""type"":""Point"",""coordinates"":[-63.858331358090965,-8.893057236051373]}"
00000000000000000da1,ctb0033-RO3332,0.0,0.0,1996,12,"{""type"":""Point"",""coordinates"":[-65.07833248811166,-9.484998441795263]}"
00000000000000000fa4,ctb0033-RO3899,3222.0,3195.0,1996,12,"{""type"":""Point"",""coordinates"":[-64.31861314613082,-9.191665397196434]}"
000000000000000008e3,ctb0033-RO2000,3328.0,3257.0,1996,13,"{""type"":""Point"",""coordinates"":[-64.44777992634599,-9.523056869286423]}"
00000000000000000a6d,ctb0033-RO2393,3539.0,3448.0,1996,14,"{""type"":""Point"",""coordinates"":[-63.57861194900831,-8.624721911958165]}"
00000000000000000a6e,ctb0033-RO2394,3947.0,3854.0,1996,14,"{""type"":""Point"",""coordinates"":[-63.67999852966051,-8.595831396232887]}"
00000000000000000c0d,ctb0033-RO2922,3744.0,3721.0,1996,14,"{""type"":""Point"",""coordinates"":[-65.2922221883423,-9.810276486340978]}"
000000000000000008df,ctb0033-RO1896,3599.0,3557.0,1996,15,"{""type"":""Point"",""coordinates"":[-64.43722077505141,-9.273333832990293]}"
00000000000000000a34,ctb0033-RO2336,4043.0,3925.0,1996,15,"{""type"":""Point"",""coordinates"":[-62.96583336404167,-8.439446263187486]}"
00000000000000000a35,ctb0033-RO2337,3565.0,3511.0,1996,15,"{""type"":""Point"",""coordinates"":[-63.02027898790424,-8.398890739106395]}"
00000000000000000c58,ctb0033-RO2997,4055.0,3548.0,1996,15,"{""type"":""Point"",""coordinates"":[-66.30944569795753,-9.806664614487687]}"
00000000000000000f00,ctb0033-RO3702,3683.0,3588.0,1996,15,"{""type"":""Point"",""coordinates"":[-63.85999906188496,-8.946111620385276]}"
00000000000000000a6c,ctb0033-RO2392,3820.0,3752.0,1996,16,"{""type"":""Point"",""coordinates"":[-63.637779760886495,-8.697498900251453]}"
00000000000000000c04,ctb0033-RO2913,3571.0,3468.0,1996,16,"{""type"":""Point"",""coordinates"":[-64.74694547512271,-9.387776661526978]}"
00000000000000000c31,ctb0033-RO2958,3434.0,3383.0,1996,16,"{""type"":""Point"",""coordinates"":[-65.70083191337481,-9.576387717885636]}"
00000000000000000c59,ctb0033-RO2998,3819.0,3798.0,1996,16,"{""type"":""Point"",""coordinates"":[-66.21833288613247,-9.809442634443986]}"
00000000000000000d93,ctb0033-RO3318,3574.0,3464.0,1996,16,"{""type"":""Point"",""coordinates"":[-64.8355567312568,-9.548335513158408]}"
