system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
2279,ctb0751-188,3388,3301,1985,12,"{""type"":""Point"",""coordinates"":[-64.08332867904575,-11.116668240171125]}"
0000000000000000227a,ctb0751-193,4608,3687,1985,20,"{""type"":""Point"",""coordinates"":[-62.28332781590229,-11.01666843994655]}"
2282,ctb0751-213,3804,3741,1985,20,"{""type"":""Point"",""coordinates"":[-61.48332941410569,-11.866671200956503]}"
2324,ctb0754-32,5112,4656,1985,20,"{""type"":""Point"",""coordinates"":[-62.134121835552946,-13.146781013177641]}"
0000000000000000227b,ctb0751-195,3411,3245,1985,23,"{""type"":""Point"",""coordinates"":[-62.26666861436663,-11.28333160114472]}"
2325,ctb0754-33,3619,3363,1985,23,"{""type"":""Point"",""coordinates"":[-61.56667001279458,-12.266670401854816]}"
0000000000000000228f,ctb0751-85,3631,3504,1985,24,"{""type"":""Point"",""coordinates"":[-62.20000059451656,-9.099999656840748]}"
2291,ctb0751-91,3668,3565,1985,24,"{""type"":""Point"",""coordinates"":[-62.16667327324309,-9.13333143721525]}"
000000000000000021db,ctb0713-81,3958,3856,1985,26,"{""type"":""Point"",""coordinates"":[-64.06667393661112,-9.26666747691539]}"
0000000000000000226e,ctb0751-13,4688,4280,1985,26,"{""type"":""Point"",""coordinates"":[-63.31667097582573,-8.250001354931838]}"
0000000000000000227c,ctb0751-198,3409,3247,1985,27,"{""type"":""Point"",""coordinates"":[-62.666672274365986,-11.699998921780809]}"
0000000000000000228d,ctb0751-79,3930,3898,1985,28,"{""type"":""Point"",""coordinates"":[-64.76666807908211,-9.433335296990037]}"
0000000000000000232e,ctb0754-57,6321,5459,1985,28,"{""type"":""Point"",""coordinates"":[-61.86666941346832,-13.516672363763083]}"
2289,ctb0751-60,3753,3666,1985,29,"{""type"":""Point"",""coordinates"":[-64.58332768016864,-9.666666677813701]}"
0000000000000000228c,ctb0751-76,3527,3499,1985,30,"{""type"":""Point"",""coordinates"":[-64.1666737368357,-9.816666378150567]}"
2273,ctb0751-168,4610,3628,1985,31,"{""type"":""Point"",""coordinates"":[-62.783326817025184,-10.78332814092078]}"
2293,ctb0751-96,4135,4093,1985,32,"{""type"":""Point"",""coordinates"":[-62.366668414591196,-9.249999357177613]}"
2290,ctb0751-90,4124,4013,1985,33,"{""type"":""Point"",""coordinates"":[-62.48333187545251,-9.166667676690814]}"
