"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year","soc_stock_g_m2","latitude","longitude"
"ctb0751-188",12,11.93,3388,3301,1985,1193,-11.11667,-64.08333
"ctb0751-193",20,21.39,4608,3687,1985,2139,-11.01667,-62.28333
"ctb0751-213",20,20.13,3804,3741,1985,2013,-11.86667,-61.48333
"ctb0754-32",20,20.03,5112,4656,1985,2003,-13.14678,-62.13412
"ctb0751-195",23,22.84,3411,3245,1985,2284,-11.28333,-62.26667
"ctb0754-33",23,22.96,3619,3363,1985,2296,-12.26667,-61.56667
"ctb0751-85",24,24.01,3631,3504,1985,2401,-9.1,-62.2
"ctb0751-91",24,24.25,3668,3565,1985,2425,-9.133333,-62.16667
"ctb0713-81",26,27.45,3958,3856,1985,2745,-9.266667,-64.06667
"ctb0751-13",26,25.61,4688,4280,1985,2561,-8.25,-63.31667
"ctb0751-198",27,28.39,3409,3247,1985,2839,-11.7,-62.66667
"ctb0751-79",28,27.49,3930,3898,1985,2749,-9.433333,-64.76667
"ctb0754-57",28,28.56,6321,5459,1985,2856,-13.51667,-61.86667
"ctb0751-60",29,38.75,3753,3666,1985,3875,-9.666667,-64.58333
"ctb0751-76",30,30.52,3527,3499,1985,3052,-9.816667,-64.16667
"ctb0751-168",31,32.82,4610,3628,1985,3282,-10.78333,-62.78333
"ctb0751-96",32,33.33,4135,4093,1985,3333,-9.25,-62.36667
"ctb0751-90",33,32.95,4124,4013,1985,3295,-9.166667,-62.48333
"ctb0754-31",33,32.71,3925,3777,1985,3271,-13.01667,-62.3
"ctb0754-25",34,33.64,3524,3252,1985,3364,-12.6,-62.08333
"ctb0751-126",35,35.91,3557,3374,1985,3591,-10.4,-65.3167
"ctb0751-101",36,35.51,3691,3591,1985,3551,-9.35,-62.25
"ctb0751-151",37,40.48,4143,3903,1985,4048,-10.15,-62.56667
"ctb0751-95",37,36.53,4110,4049,1985,3653,-9.216667,-62.58333
"ctb0754-41",38,38.88,4258,4132,1985,3888,-12.46667,-61.46667
