system.index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,longitude,latitude
2279,ctb0751-188,3388,3301,1985,12,-64.08332868,-11.11666824
0000000000000000227a,ctb0751-193,4608,3687,1985,20,-62.28332782,-11.01666844
2282,ctb0751-213,3804,3741,1985,20,-61.48332941,-11.8666712
2324,ctb0754-32,5112,4656,1985,20,-62.13412184,-13.14678101
0000000000000000227b,ctb0751-195,3411,3245,1985,23,-62.26666861,-11.2833316
2325,ctb0754-33,3619,3363,1985,23,-61.56667001,-12.2666704
0000000000000000228f,ctb0751-85,3631,3504,1985,24,-62.20000059,-9.099999657
2291,ctb0751-91,3668,3565,1985,24,-62.16667327,-9.133331437
000000000000000021db,ctb0713-81,3958,3856,1985,26,-64.06667394,-9.266667477
0000000000000000226e,ctb0751-13,4688,4280,1985,26,-63.31667098,-8.250001355
0000000000000000227c,ctb0751-198,3409,3247,1985,27,-62.66667227,-11.69999892
0000000000000000228d,ctb0751-79,3930,3898,1985,28,-64.76666808,-9.433335297
0000000000000000232e,ctb0754-57,6321,5459,1985,28,-61.86666941,-13.51667236
2289,ctb0751-60,3753,3666,1985,29,-64.58332768,-9.666666678
0000000000000000228c,ctb0751-76,3527,3499,1985,30,-64.16667374,-9.816666378
2273,ctb0751-168,4610,3628,1985,31,-62.78332682,-10.78332814
2293,ctb0751-96,4135,4093,1985,32,-62.36666841,-9.249999357
2290,ctb0751-90,4124,4013,1985,33,-62.48333188,-9.166667677
2323,ctb0754-31,3925,3777,1985,33,-62.30000039,-13.0166689
2322,ctb0754-25,3524,3252,1985,34,-62.08332822,-12.60000158
0000000000000000226d,ctb0751-126,3557,3374,1985,35,-65.31670265,-10.40000152
0000000000000000226a,ctb0751-101,3691,3591,1985,36,-62.25000049,-9.349999157
2271,ctb0751-151,4143,3903,1985,37,-62.56666802,-10.14999756
2292,ctb0751-95,4110,4049,1985,37,-62.58332722,-9.216667577
2328,ctb0754-41,4258,4132,1985,38,-61.46667021,-12.46667
2278,ctb0751-184,4004,3923,1985,39,-64.73333184,-11.15000002
0000000000000000228b,ctb0751-65,5394,4290,1985,39,-63.1999986,-9.16669889
0000000000000000232d,ctb0754-50,5137,4547,1985,39,-61.06667101,-12.80000118
0000000000000000232f,ctb0754-58,6312,5316,1985,40,-61.09999833,-13.48333167
000000000000000021de,ctb0713-85,4227,3925,1985,41,-66.48329713,-9.783298925
2272,ctb0751-154,3648,3582,1985,41,-62.8499993,-10.26666994
0000000000000000228e,ctb0751-83,7690,5430,1985,41,-62.05000089,-9.066667876
2320,ctb0754-23,4813,4190,1985,42,-62.73333138,-12.55000168
000000000000000021dd,ctb0713-84,3906,3758,1985,44,-66.76669976,-9.766697692
2281,ctb0751-211,4907,4423,1985,46,-61.06669777,-11.76669816
0000000000000000227e,ctb0751-204,4770,4622,1985,48,-60.38333161,-11.29999972
0000000000000000231f,ctb0754-22,4161,3938,1985,48,-62.41667277,-12.46667
0000000000000000227f,ctb0751-209,4603,4571,1985,49,-60.74999903,-11.583331
2283,ctb0751-215,3773,3479,1985,49,-60.94999863,-11.94999842
2284,ctb0751-23,5624,4547,1985,49,-63.51667058,-8.483332736
2327,ctb0754-4,4931,4640,1985,49,-64.31667344,-12.4166701
2340,ctb0754-9,3393,3319,1985,50,-64.68332748,-10.45000142
2335,ctb0754-7,4255,4014,1985,52,-63.71667018,-12.19999792
0000000000000000233d,ctb0754-86,4962,4709,1985,54,-60.78333081,-13.466668
0000000000000000226b,ctb0751-11,3897,3793,1985,55,-63.56670169,-8.666699889
0000000000000000232c,ctb0754-49,6113,5182,1985,55,-61.23332991,-12.80000118
2334,ctb0754-69,6042,5143,1985,59,-60.59999933,-13.1166687
2333,ctb0754-66,5625,4806,1985,60,-60.13333211,-12.7333287
0000000000000000232b,ctb0754-47,5185,5073,1985,62,-61.38332961,-12.65000148
0000000000000000226f,ctb0751-147,4288,4240,1985,63,-63.7999974,-10.68332834
2331,ctb0754-60,5583,4661,1985,68,-60.94999863,-12.966669
0000000000000000228a,ctb0751-61,9583,6404,1985,71,-65.26667154,-9.749998358
0000000000000000231d,ctb0754-13,4154,3981,1985,71,-62.7999994,-12.19999792
2329,ctb0754-42,4910,4818,1985,72,-61.36667041,-12.4333293
2330,ctb0754-6,5689,4674,1985,84,-63.86666988,-12.1833298
0000000000000000231a,ctb0754-10,7347,5181,1985,89,-63.33333018,-12.30000218
2336,ctb0754-71,6396,5465,1985,89,-60.44999963,-13.10000058
2326,ctb0754-34,5181,5152,1985,91,-61.68332901,-12.583329
2285,ctb0751-24,4741,4126,1985,101,-63.98332888,-8.766668476
0000000000000000231e,ctb0754-15,5324,5280,1985,106,-62.31666851,-12.0333301
0000000000000000232a,ctb0754-44,5665,5149,1985,123,-61.41667031,-12.55000168
2270,ctb0751-148,6209,5179,1985,128,-63.53332978,-10.80000072
2321,ctb0754-24,0,0,1985,137,-62.58332722,-12.6833288
2332,ctb0754-61,6284,5346,1985,190,-60.93333051,-12.95000088
1.00E+68,ctb0669-PERFIL-EXTRA-5,3709,3632,1985,14,-62.23332792,-9.699998458
1.00E+69,ctb0669-PERFIL-EXTRA-6,3300,3224,1985,14,-62.25000049,-9.649998558
1.00E+65,ctb0669-PERFIL-EXTRA-2,3247,3192,1985,15,-62.09999634,-9.533330638
1.00E+67,ctb0669-PERFIL-EXTRA-4,3440,3360,1985,19,-62.06666901,-9.549998758
00000000000000001e6b,ctb0669-PERFIL-EXTRA-8,3460,3413,1985,19,-62.23332792,-9.683334798
00000000000000001e5f,ctb0669-PERFIL-EXTRA-1,3691,3608,1985,22,-62.25000049,-9.466667077
1.00E+60,ctb0669-PERFIL-EXTRA-10,3844,3786,1985,32,-62.25000049,-9.416667177
1.00E+73,ctb0669-Perfil-15,3422,3310,1985,32,-62.18333247,-9.599998658
1.00E+64,ctb0669-PERFIL-EXTRA-15,5712,3897,1985,33,-62.35000029,-9.399999058
1.00E+75,ctb0669-Perfil-17,3818,3696,1985,35,-62.96667168,-9.416667177
00000000000000001e7a,ctb0669-Perfil-21,3136,3113,1985,35,-61.98332842,-9.499998858
00000000000000001e6e,ctb0669-Perfil-10,3401,3303,1985,37,-62.23332792,-9.449998958
1.00E+76,ctb0669-Perfil-18,3320,3255,1985,38,-62.31666851,-9.416667177
00000000000000001e7c,ctb0669-Perfil-4,3460,3431,1985,38,-62.05000089,-9.499998858
1.00E+70,ctb0669-Perfil-12,3949,3776,1985,39,-62.09999634,-9.383335397
1.00E+74,ctb0669-Perfil-16,3532,3476,1985,39,-62.23332792,-9.633334897
00000000000000001e6f,ctb0669-Perfil-11,3667,3551,1985,40,-62.23332792,-9.533330638
1.00E+80,ctb0669-Perfil-8,3817,3397,1985,40,-62.25000049,-9.633334897
00000000000000001e6c,ctb0669-PERFIL-EXTRA-9,4161,4107,1985,41,-62.09999634,-9.583334997
1.00E+71,ctb0669-Perfil-13,3422,3319,1985,41,-62.06666901,-9.383335397
00000000000000001e7e,ctb0669-Perfil-6,3714,3567,1985,43,-62.00000099,-9.383335397
1.00E+66,ctb0669-PERFIL-EXTRA-3,3469,3307,1985,44,-62.06666901,-9.533330638
1.00E+72,ctb0669-Perfil-14,3484,3448,1985,44,-62.01666911,-9.383335397
1.00E+79,ctb0669-Perfil-20,4110,3871,1985,44,-62.06666901,-9.566666878
00000000000000001e7d,ctb0669-Perfil-5,4211,3510,1985,44,-62.03332832,-9.449998958
00000000000000001e6d,ctb0669-Perfil-1,3533,3496,1985,45,-62.25000049,-9.399999058
00000000000000001e7f,ctb0669-Perfil-7,3811,3580,1985,45,-62.08332822,-9.533330638
1.00E+77,ctb0669-Perfil-19,3826,3762,1985,49,-62.15000069,-9.599998658
1.00E+78,ctb0669-Perfil-2,3449,3309,1985,49,-62.31666851,-9.399999058
00000000000000001e6a,ctb0669-PERFIL-EXTRA-7,3598,3476,1985,57,-62.21667317,-9.483330738
00000000000000001e7b,ctb0669-Perfil-3,3797,3694,1985,69,-61.98332842,-9.416667177
1.00E+63,ctb0669-PERFIL-EXTRA-14,8072,5825,1985,81,-62.06666901,-9.416667177
1.00E+62,ctb0669-PERFIL-EXTRA-12,7502,5829,1985,166,-62.08332822,-9.416667177
1.00E+61,ctb0669-PERFIL-EXTRA-11,11483,9277,1985,342,-62.05000089,-9.533330638
00000000000000000d9b,ctb0033-RO3326,0,0,1996,2,-65.01666758,-9.437500097
000000000000000008ee,ctb0033-RO2012,3982,3572,1996,3,-64.84694528,-10.70000092
00000000000000000b47,ctb0033-RO2612,0,0,1996,3,-61.30861292,-12.2569451
693,ctb0033-RO1066,3939,3744,1996,4,-64.04638949,-12.35805522
00000000000000000d5f,ctb0033-RO3266,3454,3373,1996,4,-62.07249706,-8.856942977
780,ctb0033-RO1541,3279,3281,1996,5,-60.9141653,-12.423332
9.00E+02,ctb0033-RO2254D,4748,4655,1996,5,-61.84835143,-12.0359253
00000000000000000a2b,ctb0033-RO2327,3160,3086,1996,5,-62.89111221,-8.220276987
000000000000000006b5,ctb0033-RO1103,3342,3153,1996,6,-63.09694431,-11.97472414
000000000000000006d4,ctb0033-RO1178,3348,3336,1996,6,-63.65277572,-10.34333526
764,ctb0033-RO1512,3535,3464,1996,6,-60.44472006,-12.97750016
000000000000000008fd,ctb0033-RO2027,3457,3347,1996,6,-65.18111031,-10.90388886
00000000000000000b74,ctb0033-RO2657,5385,4665,1996,6,-61.39750064,-13.52027978
00000000000000000b7a,ctb0033-RO2663,5018,4663,1996,6,-61.87722411,-13.50027625
00000000000000000d3e,ctb0033-RO3233,3472,3280,1996,6,-62.0936109,-8.92250068
00000000000000000de0,ctb0033-RO3395,3283,3216,1996,6,-61.82027693,-11.86027685
00000000000000000e4a,ctb0033-RO3501,3117,3080,1996,6,-62.10666715,-10.78277967
0000000000000000067a,ctb0033-RO1041,3249,3169,1996,7,-63.44805393,-12.14249781
692,ctb0033-RO1065,3300,3208,1996,7,-64.05611033,-12.29833448
781,ctb0033-RO1542,3287,3279,1996,7,-60.91388883,-12.42388939
889,ctb0033-RO1809,4157,4183,1996,7,-60.7019433,-13.02805745
991,ctb0033-RO2174,5724,3634,1996,7,-65.17416749,-11.04472064
000000000000000009a5,ctb0033-RO2194,3829,3698,1996,7,-64.91027789,-10.83277957
0.00E+00,ctb0033-RO3497,3084,3062,1996,7,-62.24388707,-10.90639041
0000000000000000067e,ctb0033-RO1045,3360,3180,1996,8,-63.71916727,-12.18527843
690,ctb0033-RO1063,3239,3159,1996,8,-63.64444612,-12.03194332
000000000000000006c2,ctb0033-RO1121,3275,3207,1996,8,-63.10361067,-11.81777716
762,ctb0033-RO1510,4016,3980,1996,8,-60.21749764,-12.88833152
0000000000000000091c,ctb0033-RO2058,3461,3405,1996,8,-65.1194454,-10.34305434
00000000000000000ae4,ctb0033-RO2512,4529,4311,1996,8,-61.03083322,-12.92916796
00000000000000000b73,ctb0033-RO2656,4875,4638,1996,8,-61.30690508,-13.48573958
00000000000000000bfc,ctb0033-RO2905,3491,3199,1996,8,-64.65861068,-9.361387701
00000000000000000d91,ctb0033-RO3316,3160,3151,1996,8,-64.7677784,-9.575277402
0.00E+00,ctb0033-RO3492,3570,3527,1996,8,-62.33861175,-10.74083291
696,ctb0033-RO1069,3453,3245,1996,9,-63.78805593,-12.40389032
0000000000000000069e,ctb0033-RO1077,4003,3293,1996,9,-63.85916521,-12.21944406
000000000000000006c4,ctb0033-RO1123,3312,3206,1996,9,-62.99416649,-11.68083371
000000000000000006c7,ctb0033-RO1127,3291,3182,1996,9,-62.88388846,-11.80555476
6.00E+05,ctb0033-RO1215,3726,3419,1996,9,-63.15638859,-11.80638861
700,ctb0033-RO1243,3593,3391,1996,9,-63.33333464,-12.3111098
0000000000000000077b,ctb0033-RO1536,3303,3280,1996,9,-60.90777986,-12.61472108
000000000000000007d1,ctb0033-RO1622,3721,3656,1996,9,-60.81694352,-12.89833328
0000000000000000081a,ctb0033-RO1697,3913,3759,1996,9,-61.36055698,-12.58360993
848,ctb0033-RO1744,4137,4180,1996,9,-60.53111068,-13.07416455
911,ctb0033-RO2047,3429,3311,1996,9,-65.20250062,-10.84527843
00000000000000000aee,ctb0033-RO2522,3741,3662,1996,9,-61.03333477,-12.85555712
00000000000000000ba2,ctb0033-RO2791,3155,3086,1996,9,-62.89694471,-10.96500084
00000000000000000d37,ctb0033-RO3226,3686,3405,1996,9,-61.84944391,-9.440835505
00000000000000000d87,ctb0033-RO3306,3218,3176,1996,9,-64.52749528,-9.52444365
00000000000000000ddf,ctb0033-RO3394,3459,3405,1996,9,-61.7936115,-11.85972392
00000000000000000ef7,ctb0033-RO3683,3208,3126,1996,9,-61.65527681,-11.44194628
000000000000000006a3,ctb0033-RO1084,3530,3293,1996,10,-63.56638955,-12.05361009
000000000000000006b6,ctb0033-RO1104,3141,3095,1996,10,-63.08388806,-11.8888909
000000000000000006bb,ctb0033-RO1110,3756,3517,1996,10,-63.4172237,-11.87666851
000000000000000006cd,ctb0033-RO1148,3246,3086,1996,10,-63.62138811,-10.04249755
774,ctb0033-RO1529,3329,3271,1996,10,-60.98583197,-12.7191666
783,ctb0033-RO1544,3370,3348,1996,10,-60.75416829,-12.35722137
795,ctb0033-RO1562,4118,4085,1996,10,-60.35250139,-12.78611108
799,ctb0033-RO1566,4095,4044,1996,10,-60.43527568,-12.77416515
000000000000000007c0,ctb0033-RO1604,3508,3454,1996,10,-60.49027869,-12.37027761
8.00E+08,ctb0033-RO2006,3223,3126,1996,10,-65.25805656,-10.74527863
904,ctb0033-RO2034,3411,3316,1996,10,-65.28527937,-10.30666807
0000000000000000092f,ctb0033-RO2077,3280,3206,1996,10,-65.22305707,-10.22166869
