"point_id","year","soc_stock_g_m2","code_muni","name_muni","code_state","abbrev_state","name_state","code_region","name_region","geometry"
"ctb0033-RO1153",1996,7210,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.65805556, -9.71361111)
"ctb0033-RO1470",1996,5432,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.14805556, -9.55833333)
"ctb0033-RO1893",1996,3135,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.44416667, -9.19972222)
"ctb0033-RO1894",1996,2481,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.44277778, -9.19888889)
"ctb0033-RO1895",1996,1895,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.43194444, -9.21722222)
"ctb0033-RO1896",1996,1560,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.43722222, -9.27333333)
"ctb0033-RO1897",1996,1999,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.50111111, -9.21222222)
"ctb0033-RO1898",1996,5834,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.5325, -9.24166667)
"ctb0033-RO1899",1996,3912,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.60666667, -9.24138889)
"ctb0033-RO2000",1996,1282,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.44777778, -9.52305556)
"ctb0033-RO2080",1996,2208,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.41388889, -9.24722222)
"ctb0033-RO2322",1996,2322,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.01305556, -8.11611111)
"ctb0033-RO2323",1996,7771,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.89055556, -8.12194444)
"ctb0033-RO2324",1996,4362,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.86416667, -8.18222222)
"ctb0033-RO2325",1996,4007,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.87861111, -8.18138889)
"ctb0033-RO2326",1996,4719,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.89138889, -8.21027778)
"ctb0033-RO2327",1996,540,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.89111111, -8.22027778)
"ctb0033-RO2328",1996,1677,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.86638889, -8.22166667)
"ctb0033-RO2329",1996,2610,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.90722222, -8.32055556)
"ctb0033-RO2330",1996,2349,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.89166667, -8.29138889)
"ctb0033-RO2331",1996,3320,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.86861111, -8.25833333)
"ctb0033-RO2335",1996,2081,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.98388889, -8.48722222)
"ctb0033-RO2336",1996,1479,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.96583333, -8.43944444)
"ctb0033-RO2337",1996,1500,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.02027778, -8.39888889)
"ctb0033-RO2338",1996,5377,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.01194444, -8.37611111)
