point_id,year,soc_stock_g_m2,code_state,abbrev_state,name_state,code_region,name_region,latitude,longitude
ctb0033-RO0600,1996,5046,11,RO,Rondônia,1,Norte,c(-63.34944444, -9.07638889)
ctb0033-RO0600C,1996,4247,11,RO,Rondônia,1,Norte,c(-63.3488666257221, -9.07661746376989)
ctb0033-RO0607,1996,3602,11,RO,Rondônia,1,Norte,c(-63.28833333, -9.09111111)
ctb0033-RO0607D,1996,4231,11,RO,Rondônia,1,Norte,c(-63.288794879062, -9.09172234074029)
ctb0033-RO0607E,1996,3328,11,RO,Rondônia,1,Norte,c(-63.287467533335, -9.08979987879386)
ctb0033-RO0607F,1996,2838,11,RO,Rondônia,1,Norte,c(-63.2900354488127, -9.09129882011995)
ctb0033-RO0626,1996,4058,11,RO,Rondônia,1,Norte,c(-63.48777778, -9.4175)
ctb0033-RO0626D,1996,2662,11,RO,Rondônia,1,Norte,c(-63.486577397118, -9.41853428021931)
ctb0033-RO0626E,1996,2741,11,RO,Rondônia,1,Norte,c(-63.486386013595, -9.41926751276649)
ctb0033-RO0626F,1996,2823,11,RO,Rondônia,1,Norte,c(-63.4870252353559, -9.41670593698995)
ctb0033-RO0626G,1996,4449,11,RO,Rondônia,1,Norte,c(-63.4888641052571, -9.41922522364768)
ctb0033-RO0626H,1996,3175,11,RO,Rondônia,1,Norte,c(-63.4885079016245, -9.41690338954461)
ctb0033-RO0626I,1996,2856,11,RO,Rondônia,1,Norte,c(-63.4862431967594, -9.41856661829229)
ctb0033-RO0626J,1996,3527,11,RO,Rondônia,1,Norte,c(-63.4873757700674, -9.41929833842556)
ctb0033-RO0626K,1996,4189,11,RO,Rondônia,1,Norte,c(-63.487363166394, -9.41620386526484)
ctb0033-RO0628,1996,5420,11,RO,Rondônia,1,Norte,c(-63.44972222, -9.12972222)
ctb0033-RO0628D,1996,3458,11,RO,Rondônia,1,Norte,c(-63.4486363177744, -9.13096252342402)
ctb0033-RO0628E,1996,4488,11,RO,Rondônia,1,Norte,c(-63.4484583888021, -9.12942938634938)
ctb0033-RO0628F,1996,4758,11,RO,Rondônia,1,Norte,c(-63.4496962051258, -9.12952686154057)
ctb0033-RO0628G,1996,4171,11,RO,Rondônia,1,Norte,c(-63.4480567412291, -9.1301531265673)
ctb0033-RO0629,1996,5704,11,RO,Rondônia,1,Norte,c(-63.40611111, -9.09416667)
ctb0033-RO0629B,1996,3887,11,RO,Rondônia,1,Norte,c(-63.4059350567449, -9.09315490278751)
ctb0033-RO0629D,1996,4318,11,RO,Rondônia,1,Norte,c(-63.4077934886223, -9.09444332224976)
ctb0033-RO0629E,1996,4250,11,RO,Rondônia,1,Norte,c(-63.4059292103459, -9.0948778670447)
ctb0033-RO0629F,1996,3994,11,RO,Rondônia,1,Norte,c(-63.4077746839759, -9.0951440825319)
ctb0033-RO0655,1996,4353,11,RO,Rondônia,1,Norte,c(-62.30833333, -10.69944444)
ctb0033-RO0655E,1996,2275,11,RO,Rondônia,1,Norte,c(-62.3068945255, -10.7002453031316)
ctb0033-RO0655F,1996,3178,11,RO,Rondônia,1,Norte,c(-62.3077240547033, -10.6998778643048)
ctb0033-RO0655G,1996,2944,11,RO,Rondônia,1,Norte,c(-62.3092188104538, -10.6988226635769)
ctb0033-RO0655H,1996,3520,11,RO,Rondônia,1,Norte,c(-62.3071739991411, -10.6996392819132)
ctb0033-RO0661,1996,4642,11,RO,Rondônia,1,Norte,c(-62.68111111, -11.06527778)
ctb0033-RO0661C,1996,4041,11,RO,Rondônia,1,Norte,c(-62.681130983154, -11.0647585512902)
ctb0033-RO0661D,1996,4312,11,RO,Rondônia,1,Norte,c(-62.6807518087332, -11.06650287098)
ctb0033-RO0661E,1996,4472,11,RO,Rondônia,1,Norte,c(-62.6809758768045, -11.0665872377724)
ctb0033-RO0661F,1996,5675,11,RO,Rondônia,1,Norte,c(-62.6800307311137, -11.0668250464934)
ctb0033-RO0661G,1996,4093,11,RO,Rondônia,1,Norte,c(-62.6819191863658, -11.0670363999027)
ctb0033-RO0661H,1996,3990,11,RO,Rondônia,1,Norte,c(-62.6798531344748, -11.0660345666105)
ctb0033-RO0661I,1996,4289,11,RO,Rondônia,1,Norte,c(-62.6824529866496, -11.0638359645789)
ctb0033-RO0663,1996,4078,11,RO,Rondônia,1,Norte,c(-62.79305556, -11.035)
ctb0033-RO0663D,1996,3008,11,RO,Rondônia,1,Norte,c(-62.7946269501769, -11.0358589642007)
ctb0033-RO0663E,1996,2061,11,RO,Rondônia,1,Norte,c(-62.7922224662516, -11.0340191008505)
ctb0033-RO0663F,1996,1342,11,RO,Rondônia,1,Norte,c(-62.7918443380027, -11.0361439704805)
ctb0033-RO0663G,1996,1483,11,RO,Rondônia,1,Norte,c(-62.7926268898833, -11.0352081984736)
ctb0033-RO0663H,1996,2999,11,RO,Rondônia,1,Norte,c(-62.7941677894519, -11.0335735214248)
ctb0033-RO0663I,1996,3369,11,RO,Rondônia,1,Norte,c(-62.7912481270833, -11.0334735849676)
ctb0033-RO1002,1996,2506,11,RO,Rondônia,1,Norte,c(-64.23555556, -12.34638889)
ctb0033-RO1004,1996,17483,11,RO,Rondônia,1,Norte,c(-64.275, -12.32805556)
ctb0033-RO1005,1996,3740,11,RO,Rondônia,1,Norte,c(-64.22166667, -12.39472222)
ctb0033-RO1007,1996,11088,11,RO,Rondônia,1,Norte,c(-64.39333333, -12.39805556)
ctb0033-RO1008,1996,4116,11,RO,Rondônia,1,Norte,c(-64.44111111, -12.41138889)
ctb0033-RO1009,1996,5873,11,RO,Rondônia,1,Norte,c(-64.32472222, -12.41222222)
ctb0033-RO1010,1996,7689,11,RO,Rondônia,1,Norte,c(-64.12222222, -12.02222222)
ctb0033-RO1011,1996,3623,11,RO,Rondônia,1,Norte,c(-64.11944444, -12.02944444)
ctb0033-RO1012,1996,2285,11,RO,Rondônia,1,Norte,c(-64.115, -12.0475)
ctb0033-RO1013,1996,2174,11,RO,Rondônia,1,Norte,c(-64.105, -12.07916667)
ctb0033-RO1014,1996,3069,11,RO,Rondônia,1,Norte,c(-64.35944444, -12.10972222)
ctb0033-RO1015,1996,1782,11,RO,Rondônia,1,Norte,c(-63.8475, -12.20888889)
ctb0033-RO1016,1996,4614,11,RO,Rondônia,1,Norte,c(-64.02944444, -12.29388889)
ctb0033-RO1017,1996,3842,11,RO,Rondônia,1,Norte,c(-64.08833333, -12.29277778)
ctb0033-RO1018,1996,5943,11,RO,Rondônia,1,Norte,c(-64.14916667, -12.31861111)
ctb0033-RO1019,1996,1662,11,RO,Rondônia,1,Norte,c(-64.15972222, -12.20555556)
ctb0033-RO1020,1996,2425,11,RO,Rondônia,1,Norte,c(-64.18638889, -12.21444444)
ctb0033-RO1021,1996,1151,11,RO,Rondônia,1,Norte,c(-64.23027778, -12.18444444)
ctb0033-RO1022,1996,4036,11,RO,Rondônia,1,Norte,c(-64.03166667, -12.16805556)
ctb0033-RO1023,1996,1849,11,RO,Rondônia,1,Norte,c(-64.03611111, -12.14)
ctb0033-RO1024,1996,2399,11,RO,Rondônia,1,Norte,c(-63.82111111, -12.12)
ctb0033-RO1025,1996,1537,11,RO,Rondônia,1,Norte,c(-63.8075, -12.17527778)
ctb0033-RO1026,1996,2057,11,RO,Rondônia,1,Norte,c(-63.83194444, -12.08388889)
ctb0033-RO1027,1996,1403,11,RO,Rondônia,1,Norte,c(-63.54388889, -11.84388889)
ctb0033-RO1028,1996,1449,11,RO,Rondônia,1,Norte,c(-63.54388889, -11.87472222)
ctb0033-RO1029,1996,1835,11,RO,Rondônia,1,Norte,c(-63.54222222, -11.90916667)
ctb0033-RO1030,1996,1646,11,RO,Rondônia,1,Norte,c(-63.54138889, -11.9325)
ctb0033-RO1031,1996,1736,11,RO,Rondônia,1,Norte,c(-63.82861111, -11.85138889)
ctb0033-RO1032,1996,1595,11,RO,Rondônia,1,Norte,c(-63.81861111, -11.89027778)
ctb0033-RO1033,1996,1276,11,RO,Rondônia,1,Norte,c(-63.79583333, -11.94555556)
ctb0033-RO1034,1996,6942,11,RO,Rondônia,1,Norte,c(-63.785, -11.98805556)
ctb0033-RO1035,1996,3802,11,RO,Rondônia,1,Norte,c(-64.2675, -12.08944444)
ctb0033-RO1036,1996,6276,11,RO,Rondônia,1,Norte,c(-64.31472222, -12.12527778)
ctb0033-RO1037,1996,3783,11,RO,Rondônia,1,Norte,c(-64.28083333, -12.15888889)
ctb0033-RO1038,1996,1883,11,RO,Rondônia,1,Norte,c(-64.17027778, -12.11861111)
ctb0033-RO1039,1996,14809,11,RO,Rondônia,1,Norte,c(-64.29222222, -12.2275)
ctb0033-RO1040,1996,9868,11,RO,Rondônia,1,Norte,c(-64.2925, -12.23333333)
ctb0033-RO1041,1996,741,11,RO,Rondônia,1,Norte,c(-63.44805556, -12.1425)
ctb0033-RO1042,1996,1512,11,RO,Rondônia,1,Norte,c(-63.4125, -12.28)
ctb0033-RO1043,1996,1101,11,RO,Rondônia,1,Norte,c(-63.44527778, -12.20666667)
ctb0033-RO1044,1996,2696,11,RO,Rondônia,1,Norte,c(-63.71444444, -12.09222222)
ctb0033-RO1045,1996,909,11,RO,Rondônia,1,Norte,c(-63.71916667, -12.18527778)
ctb0033-RO1046,1996,1455,11,RO,Rondônia,1,Norte,c(-63.72027778, -12.16194444)
ctb0033-RO1047,1996,2027,11,RO,Rondônia,1,Norte,c(-63.75805556, -12.23416667)
ctb0033-RO1048,1996,6589,11,RO,Rondônia,1,Norte,c(-64.09472222, -12.48055556)
ctb0033-RO1049,1996,6190,11,RO,Rondônia,1,Norte,c(-64.08527778, -12.47166667)
ctb0033-RO1050,1996,2805,11,RO,Rondônia,1,Norte,c(-64.08527778, -12.45805556)
ctb0033-RO1051,1996,3590,11,RO,Rondônia,1,Norte,c(-64.1425, -12.4625)
ctb0033-RO1052,1996,3197,11,RO,Rondônia,1,Norte,c(-64.21638889, -12.43361111)
ctb0033-RO1053,1996,2879,11,RO,Rondônia,1,Norte,c(-64.23388889, -12.37166667)
ctb0033-RO1054,1996,2334,11,RO,Rondônia,1,Norte,c(-64.06666667, -12.16611111)
ctb0033-RO1055,1996,1646,11,RO,Rondônia,1,Norte,c(-64.06555556, -12.15527778)
ctb0033-RO1056,1996,3197,11,RO,Rondônia,1,Norte,c(-64.06277778, -12.10388889)
ctb0033-RO1057,1996,4729,11,RO,Rondônia,1,Norte,c(-64.14388889, -11.92972222)
ctb0033-RO1058,1996,3374,11,RO,Rondônia,1,Norte,c(-64.06333333, -12.03333333)
ctb0033-RO1059,1996,4732,11,RO,Rondônia,1,Norte,c(-63.61361111, -12.15222222)
ctb0033-RO1060,1996,5614,11,RO,Rondônia,1,Norte,c(-63.62083333, -12.13305556)
ctb0033-RO1061,1996,4145,11,RO,Rondônia,1,Norte,c(-63.65888889, -11.95666667)
ctb0033-RO1062,1996,11299,11,RO,Rondônia,1,Norte,c(-63.65916667, -12.00277778)
ctb0033-RO1063,1996,799,11,RO,Rondônia,1,Norte,c(-63.64444444, -12.03194444)
ctb0033-RO1064,1996,1218,11,RO,Rondônia,1,Norte,c(-63.40277778, -11.98805556)
ctb0033-RO1065,1996,800,11,RO,Rondônia,1,Norte,c(-64.05611111, -12.29833333)
ctb0033-RO1066,1996,434,11,RO,Rondônia,1,Norte,c(-64.04638889, -12.35805556)
ctb0033-RO1067,1996,1107,11,RO,Rondônia,1,Norte,c(-64.01333333, -12.39611111)
ctb0033-RO1068,1996,10505,11,RO,Rondônia,1,Norte,c(-63.78527778, -12.42472222)
ctb0033-RO1069,1996,924,11,RO,Rondônia,1,Norte,c(-63.78805556, -12.40388889)
ctb0033-RO1070,1996,3770,11,RO,Rondônia,1,Norte,c(-63.8025, -12.37944444)
ctb0033-RO1071,1996,5062,11,RO,Rondônia,1,Norte,c(-63.80333333, -12.3425)
ctb0033-RO1072,1996,3353,11,RO,Rondônia,1,Norte,c(-63.80277778, -12.32305556)
ctb0033-RO1073,1996,2202,11,RO,Rondônia,1,Norte,c(-63.79638889, -12.28583333)
ctb0033-RO1074,1996,2394,11,RO,Rondônia,1,Norte,c(-63.97138889, -12.02194444)
ctb0033-RO1075,1996,1174,11,RO,Rondônia,1,Norte,c(-63.94666667, -12.05638889)
ctb0033-RO1076,1996,2026,11,RO,Rondônia,1,Norte,c(-63.86333333, -12.06555556)
ctb0033-RO1077,1996,900,11,RO,Rondônia,1,Norte,c(-63.85916667, -12.21944444)
ctb0033-RO1078,1996,4412,11,RO,Rondônia,1,Norte,c(-63.8475, -12.20888889)
ctb0033-RO1079,1996,1448,11,RO,Rondônia,1,Norte,c(-63.85166667, -12.15333333)
ctb0033-RO1080,1996,2829,11,RO,Rondônia,1,Norte,c(-63.85055556, -12.15333333)
ctb0033-RO1082,1996,1968,11,RO,Rondônia,1,Norte,c(-63.44972222, -12.0675)
ctb0033-RO1084,1996,961,11,RO,Rondônia,1,Norte,c(-63.56638889, -12.05361111)
ctb0033-RO1085,1996,3317,11,RO,Rondônia,1,Norte,c(-63.88, -12.10444444)
ctb0033-RO1086,1996,1453,11,RO,Rondônia,1,Norte,c(-63.96166667, -12.14222222)
ctb0033-RO1087,1996,11033,11,RO,Rondônia,1,Norte,c(-63.96361111, -12.10138889)
ctb0033-RO1088,1996,6190,11,RO,Rondônia,1,Norte,c(-64.32583333, -12.16055556)
ctb0033-RO1089,1996,1126,11,RO,Rondônia,1,Norte,c(-64.32277778, -12.13805556)
ctb0033-RO1090,1996,3530,11,RO,Rondônia,1,Norte,c(-63.39638889, -12.04416667)
ctb0033-RO1091,1996,4327,11,RO,Rondônia,1,Norte,c(-63.40666667, -12.15444444)
ctb0033-RO1093,1996,7659,11,RO,Rondônia,1,Norte,c(-64.23138889, -12.45166667)
ctb0033-RO1094,1996,3566,11,RO,Rondônia,1,Norte,c(-64.36416667, -12.30138889)
ctb0033-RO1095,1996,3912,11,RO,Rondônia,1,Norte,c(-64.37472222, -12.21361111)
ctb0033-RO1096,1996,1970,11,RO,Rondônia,1,Norte,c(-64.34472222, -12.25361111)
ctb0033-RO1097,1996,1655,11,RO,Rondônia,1,Norte,c(-64.24527778, -12.22333333)
ctb0033-RO1098,1996,2032,11,RO,Rondônia,1,Norte,c(-64.33166667, -12.21833333)
ctb0033-RO1099,1996,4422,11,RO,Rondônia,1,Norte,c(-64.31638889, -12.30333333)
ctb0033-RO1100,1996,2010,11,RO,Rondônia,1,Norte,c(-64.31805556, -12.28444444)
ctb0033-RO1101,1996,6553,11,RO,Rondônia,1,Norte,c(-63.24944444, -11.96194444)
ctb0033-RO1102,1996,1809,11,RO,Rondônia,1,Norte,c(-63.08305556, -12.00722222)
ctb0033-RO1103,1996,689,11,RO,Rondônia,1,Norte,c(-63.09694444, -11.97472222)
ctb0033-RO1104,1996,1165,11,RO,Rondônia,1,Norte,c(-63.08388889, -11.88888889)
ctb0033-RO1105,1996,4649,11,RO,Rondônia,1,Norte,c(-64.22444444, -12.2775)
ctb0033-RO1107,1996,2003,11,RO,Rondônia,1,Norte,c(-63.32, -11.95555556)
ctb0033-RO1108,1996,5165,11,RO,Rondônia,1,Norte,c(-63.37694444, -11.97611111)
ctb0033-RO1109,1996,2351,11,RO,Rondônia,1,Norte,c(-63.39083333, -11.92194444)
