point_id,longitude,latitude,year,soc_stock_g_m2
ctb0003-sm-dnos-001,-53.794645,-29.651271,2009,1341
ctb0003-sm-dnos-002,-53.793987,-29.650564,2009,2246
ctb0003-sm-dnos-003,-53.793993,-29.650232,2009,2340
ctb0003-sm-dnos-004,-53.794345,-29.650311,2009,3933
ctb0003-sm-dnos-005,-53.792947,-29.650838,2009,2738
ctb0003-sm-dnos-006,-53.793499,-29.649951,2009,2732
ctb0003-sm-dnos-007,-53.793272,-29.649962,2009,3299
ctb0003-sm-dnos-008,-53.793633,-29.648468,2009,2311
ctb0003-sm-dnos-009,-53.793707,-29.647836,2009,1993
ctb0003-sm-dnos-010,-53.793019,-29.64797,2009,3109
ctb0003-sm-dnos-011,-53.792816,-29.64804,2009,1480
ctb0003-sm-dnos-012,-53.79206,-29.64927,2009,2268
ctb0003-sm-dnos-013,-53.79184,-29.648724,2009,2196
ctb0003-sm-dnos-014,-53.792442,-29.648539,2009,3186
ctb0003-sm-dnos-015,-53.792655,-29.648548,2009,2619
ctb0003-sm-dnos-016,-53.792509,-29.647109,2009,2851
ctb0003-sm-dnos-017,-53.79256,-29.646736,2009,2628
ctb0003-sm-dnos-018,-53.792256,-29.646199,2009,1044
ctb0003-sm-dnos-019,-53.792114,-29.645725,2009,3600
ctb0003-sm-dnos-020,-53.791419,-29.646682,2009,1751
ctb0003-sm-dnos-021,-53.793887,-29.652717,2009,2117
ctb0003-sm-dnos-022,-53.790043,-29.648311,2009,1287
ctb0003-sm-dnos-023,-53.78955,-29.648663,2009,373
ctb0003-sm-dnos-024,-53.788403,-29.649114,2009,821
ctb0003-sm-dnos-025,-53.786795,-29.650051,2009,1584
ctb0003-sm-dnos-026,-53.786729,-29.650198,2009,1777
ctb0003-sm-dnos-027,-53.786439,-29.647667,2009,4824
ctb0003-sm-dnos-028,-53.786838,-29.647463,2009,1287
ctb0003-sm-dnos-029,-53.785726,-29.646196,2009,1269
ctb0003-sm-dnos-030,-53.782776,-29.642239,2009,2002
ctb0003-sm-dnos-031,-53.782604,-29.641715,2009,2502
ctb0003-sm-dnos-032,-53.78358,-29.643612,2009,1377
ctb0003-sm-dnos-033,-53.783181,-29.644809,2009,3661
ctb0003-sm-dnos-034,-53.786181,-29.645831,2009,1739
ctb0003-sm-dnos-035,-53.79162,-29.65165,2009,3978
ctb0003-sm-dnos-036,-53.790323,-29.650243,2009,2102
ctb0003-sm-dnos-037,-53.789106,-29.649981,2009,2592
ctb0003-sm-dnos-038,-53.788766,-29.650904,2009,1534
ctb0003-sm-dnos-039,-53.788001,-29.651884,2009,1287
ctb0003-sm-dnos-040,-53.78967,-29.652096,2009,2268
ctb0003-sm-dnos-041,-53.790849,-29.6533,2009,1827
ctb0003-sm-dnos-042,-53.788561,-29.654778,2009,2030
ctb0003-sm-dnos-043,-53.788313,-29.654537,2009,1436
ctb0003-sm-dnos-044,-53.790373,-29.654251,2009,2074
ctb0003-sm-dnos-045,-53.796479,-29.653913,2009,3834
ctb0003-sm-dnos-046,-53.795904,-29.653944,2009,3625
ctb0003-sm-dnos-047,-53.797283,-29.654583,2009,4131
ctb0003-sm-dnos-048,-53.799054,-29.654445,2009,3276
ctb0003-sm-dnos-049,-53.799533,-29.653968,2009,4788
ctb0003-sm-dnos-050,-53.799876,-29.653101,2009,3915
ctb0003-sm-dnos-051,-53.798608,-29.653072,2009,1058
ctb0003-sm-dnos-052,-53.797866,-29.653518,2009,3150
ctb0003-sm-dnos-053,-53.795823,-29.653543,2009,2122
ctb0003-sm-dnos-054,-53.794759,-29.65719,2009,4275
ctb0003-sm-dnos-055,-53.798576,-29.655777,2009,2203
ctb0003-sm-dnos-056,-53.800101,-29.656367,2009,2772
ctb0003-sm-dnos-057,-53.802126,-29.656873,2009,4192
ctb0003-sm-dnos-058,-53.801405,-29.657328,2009,2430
ctb0003-sm-dnos-059,-53.795093,-29.656811,2009,1840
ctb0003-sm-dnos-060,-53.79213,-29.655161,2009,1930
ctb0003-sm-dnos-061,-53.793303,-29.655905,2009,1827
ctb0003-sm-dnos-062,-53.799539,-29.652645,2009,2898
ctb0003-sm-dnos-063,-53.807537,-29.652779,2009,3629
ctb0003-sm-dnos-064,-53.806834,-29.652269,2009,3465
ctb0003-sm-dnos-065,-53.806154,-29.651724,2009,2635
ctb0003-sm-dnos-066,-53.808047,-29.651232,2009,1449
ctb0003-sm-dnos-067,-53.810477,-29.650894,2009,2016
ctb0003-sm-dnos-068,-53.810061,-29.650623,2009,1922
ctb0003-sm-dnos-069,-53.804721,-29.651086,2009,2959
ctb0003-sm-dnos-070,-53.803219,-29.651684,2009,4108
ctb0003-sm-dnos-071,-53.804261,-29.652893,2009,3564
ctb0003-sm-dnos-072,-53.802675,-29.652871,2009,3888
ctb0003-sm-dnos-073,-53.803316,-29.653768,2009,5511
ctb0003-sm-dnos-074,-53.802057,-29.65548,2009,1966
ctb0003-sm-dnos-075,-53.801966,-29.654216,2009,3607
ctb0003-sm-dnos-076,-53.801884,-29.651857,2009,4309
ctb0003-sm-dnos-077,-53.801571,-29.649229,2009,3154
ctb0003-sm-dnos-078,-53.800074,-29.648679,2009,5472
ctb0003-sm-dnos-079,-53.798709,-29.649183,2009,4952
ctb0003-sm-dnos-080,-53.79658,-29.647794,2009,3780
ctb0003-sm-dnos-081,-53.798624,-29.647548,2009,3604
ctb0003-sm-dnos-082,-53.800643,-29.646427,2009,2104
ctb0003-sm-dnos-083,-53.801826,-29.646066,2009,3168
ctb0003-sm-dnos-084,-53.802176,-29.648401,2009,4235
ctb0003-sm-dnos-085,-53.800361,-29.651218,2009,2997
ctb0003-sm-dnos-086,-53.79877,-29.651636,2009,4446
ctb0003-sm-dnos-087,-53.797196,-29.650298,2009,4810
ctb0003-sm-dnos-088,-53.796987,-29.649121,2009,2754
ctb0003-sm-dnos-089,-53.794885,-29.649711,2009,3737
ctb0003-sm-dnos-090,-53.795826,-29.650713,2009,4057
ctb0003-sm-dnos-091,-53.796188,-29.652779,2009,4277
ctb0003-sm-dnos-092,-53.794408,-29.654742,2009,2754
ctb0003-sm-dnos-093,-53.797649,-29.657177,2009,3704
ctb0003-sm-dnos-094,-53.800373,-29.655175,2009,2252
ctb0003-sm-dnos-095,-53.806399,-29.654389,2009,5789
ctb0003-sm-dnos-096,-53.804268,-29.656062,2009,7241
ctb0003-sm-dnos-097,-53.805302,-29.657426,2009,4228
ctb0003-sm-dnos-098,-53.807257,-29.657608,2009,6210
ctb0003-sm-dnos-099,-53.80759,-29.656464,2009,2491
ctb0003-sm-dnos-100,-53.809483,-29.655057,2009,6361
ctb0003-sm-dnos-101,-53.810455,-29.653456,2009,3067
ctb0003-sm-dnos-102,-53.813868,-29.653407,2009,6955
ctb0003-sm-dnos-103,-53.815807,-29.651554,2009,5213
ctb0003-sm-dnos-104,-53.817632,-29.649864,2009,5216
ctb0003-sm-dnos-105,-53.818873,-29.647536,2009,4192
ctb0003-sm-dnos-106,-53.820936,-29.647208,2009,6293
ctb0003-sm-dnos-107,-53.819961,-29.644967,2009,10627
ctb0003-sm-dnos-108,-53.817577,-29.645775,2009,5184
ctb0003-sm-dnos-109,-53.816721,-29.644392,2009,3758
ctb0003-sm-dnos-110,-53.816153,-29.646251,2009,6782
ctb0003-sm-dnos-111,-53.816611,-29.648404,2009,6010
ctb0003-sm-dnos-112,-53.811275,-29.6551,2009,5600
